#HOLE:,940A
#LEG:,155
#TOP:,83.362801
#BOTTOM:,231.952805
DEPTH_WMSF,C1,C2
m,in,in
161.6964,13.3356,11.4274
161.8488,13.3356,11.0248
162.0012,13.3356,10.8580
162.1536,13.3356,10.8045
162.3060,13.3317,10.8493
162.4584,13.3317,10.9122
162.6108,13.3356,11.3646
162.7632,13.3356,11.0091
162.9156,13.3325,11.1162
163.0680,13.3356,11.5595
163.2204,13.3356,11.7824
163.3728,13.3356,11.5626
163.5252,13.3356,11.6318
163.6776,13.3356,11.7353
163.8300,13.3307,11.3362
163.9824,13.3232,11.3300
164.1348,13.3188,11.3270
164.2872,13.3248,11.3563
164.4396,13.3356,11.5783
164.5920,13.3400,11.3519
164.7444,13.3356,11.3300
164.8968,13.3356,11.3174
165.0492,13.3356,11.2357
165.2016,13.3356,11.3174
165.3540,13.3356,11.3300
165.5064,13.3356,11.0532
165.6588,13.3356,11.0587
165.8112,13.3325,11.0406
165.9636,13.3330,11.0944
166.1160,13.3317,10.7549
166.2684,13.3356,10.6848
166.4208,13.3356,10.8391
166.5732,13.3356,10.8737
166.7256,13.3356,10.9084
166.8780,13.3356,10.9453
167.0304,13.3356,10.8509
167.1828,13.3356,10.8517
167.3352,13.3356,10.9115
167.4876,13.3356,11.1601
167.6400,13.3400,11.0845
167.7924,13.3356,11.1507
167.9448,13.3400,11.1475
168.0972,13.3356,11.4880
168.2496,13.3356,11.7895
168.4020,13.3317,11.4694
168.5544,13.3356,11.5375
168.7068,13.3356,11.8860
168.8592,13.3356,11.8703
169.0116,13.3356,11.7009
169.1640,13.3356,11.9142
169.3164,13.3356,11.8860
169.4688,13.3356,11.8609
169.6212,13.3400,11.6568
169.7736,13.3356,11.6317
169.9260,13.3356,11.5752
170.0784,13.3327,11.3114
170.2308,13.3317,11.3523
170.3832,13.3400,11.3519
170.5356,13.3356,11.2168
170.6880,13.3356,11.3300
170.8404,13.3356,11.2388
170.9928,13.3356,11.2357
171.1452,13.3217,11.3041
171.2976,13.3193,11.3465
171.4500,13.2923,11.3332
171.6024,13.3356,11.3395
171.7548,13.3356,11.3772
171.9072,13.3400,11.4306
172.0596,13.3356,11.3803
172.2120,13.3046,11.3049
172.3644,13.3046,11.3269
172.5168,13.3214,11.3331
172.6692,13.2892,11.3395
172.8216,13.2915,11.3465
172.9740,13.3108,11.3740
173.1264,13.3232,11.2482
173.2788,13.2706,11.2577
173.4312,13.3170,11.4495
173.5836,13.3170,11.4338
173.7360,13.2218,11.4621
173.8884,13.2595,11.5406
174.0408,13.3139,11.6664
174.1932,13.2997,12.3654
174.3456,13.3325,12.9328
174.4980,13.2564,11.9049
174.6504,13.3356,11.9362
174.8028,13.3356,11.9393
174.9552,13.2861,11.5438
175.1076,13.1801,11.6004
