#HOLE:,940A
#LEG:,155
#TOP:,0.000000
#BOTTOM:,218.998795
DEPTH_WMSF,NPHI,ENPH,CNTC,CFTC,CNEC,CFEC,TNRA,ENRA
m,%,%,cps,cps,cps,cps,--,--
25.1460,52.5171,33.4921,1225.1759,274.8001,4002.0879,794.0447,4.6017,5.0401
25.2984,53.8849,32.6910,1237.6622,268.7278,4071.2395,819.2443,4.6910,4.9695
25.4508,54.4956,32.5591,1213.3226,260.7651,4131.8120,833.3867,4.7309,4.9579
25.6032,52.7312,34.0372,1202.7397,255.9400,4112.1064,808.1806,4.6157,5.0881
25.7556,51.7722,36.1386,1195.7911,261.9764,4136.7803,784.5893,4.5531,5.2725
25.9080,51.6160,35.7908,1196.9386,266.9400,4144.2056,790.5682,4.5429,5.2421
26.0604,51.3707,35.2602,1193.6256,268.4851,4138.0308,796.4606,4.5269,5.1955
26.2128,50.6363,34.3786,1192.7576,268.4851,4136.0020,808.1093,4.4789,5.1181
26.3652,50.7502,34.7127,1196.6255,269.9806,4147.1699,805.6719,4.4864,5.1475
26.5176,51.3239,33.4500,1213.0031,276.3974,4135.8535,821.1882,4.5238,5.0364
26.6700,51.2515,34.3745,1218.0667,278.0383,4164.2344,813.6839,4.5191,5.1178
26.8224,50.3347,35.1069,1231.4667,282.7513,4193.6494,809.2610,4.4592,5.1821
26.9748,49.1576,34.4023,1239.8931,282.7011,4201.2847,820.5306,4.3824,5.1202
27.1272,48.7843,33.4467,1255.9969,290.5690,4236.9272,841.3046,4.3580,5.0361
27.2796,49.5946,33.2759,1259.8851,295.4290,4291.6523,854.7258,4.4109,5.0211
27.4320,50.4636,33.3864,1279.3464,300.0748,4315.8105,857.8742,4.4676,5.0308
27.5844,48.9422,32.8302,1280.7006,295.2468,4324.4390,868.0497,4.3683,4.9818
27.7368,48.5034,32.2856,1293.1306,301.5210,4332.1938,878.0822,4.3397,4.9337
27.8892,47.7789,32.8804,1304.7196,303.4052,4340.8159,870.5627,4.2923,4.9862
28.0416,50.1424,32.9319,1309.0667,311.0817,4333.4985,868.3048,4.4467,4.9908
28.1940,48.7495,33.8339,1298.4393,300.0221,4334.4453,854.8828,4.3557,5.0702
28.3464,51.0068,33.2791,1306.3420,304.3079,4343.0791,864.9197,4.5031,5.0214
28.4988,48.6740,34.5341,1304.4674,291.9037,4361.5991,849.9188,4.3508,5.1318
28.6512,49.7599,33.5423,1299.6981,304.4474,4342.0029,860.7313,4.4217,5.0446
28.8036,48.1784,33.7676,1294.4801,298.6194,4345.6626,858.0826,4.3184,5.0644
28.9560,47.0888,33.0265,1298.5013,306.5502,4343.2109,868.7985,4.2473,4.9991
29.1084,45.9651,32.4721,1294.2083,309.7934,4342.8511,877.3132,4.1739,4.9502
29.2608,45.4250,32.0294,1294.6732,314.2501,4341.7588,884.0814,4.1386,4.9110
29.4132,48.6080,32.6340,1287.2521,314.3839,4373.1851,880.8958,4.3465,4.9645
29.5656,49.0653,33.2966,1290.7369,301.7870,4376.9258,871.3918,4.3763,5.0229
29.7180,49.0230,33.6910,1289.0558,300.4136,4385.5825,867.1192,4.3736,5.0576
29.8704,47.0688,32.5255,1294.8687,303.3923,4350.4673,878.0137,4.2460,4.9549
30.0228,49.5117,31.6325,1293.6466,309.3788,4343.3901,890.7858,4.4055,4.8759
30.1752,49.7795,31.7357,1301.3433,299.8152,4332.1226,886.8120,4.4230,4.8851
30.3276,50.4385,32.6089,1295.9811,296.8365,4323.0830,871.1926,4.4660,4.9623
30.4800,49.8974,32.7672,1292.2203,293.6519,4317.4380,867.6125,4.4307,4.9762
30.6324,49.9614,33.8306,1295.1062,296.7881,4341.7437,856.3717,4.4349,5.0699
30.7848,48.4113,32.9660,1302.4971,298.5821,4335.4858,868.1794,4.3336,4.9938
30.9372,48.2534,33.6506,1292.2772,304.9050,4331.2646,856.9828,4.3233,5.0541
31.0896,47.1488,34.6822,1289.5328,301.7690,4341.5664,843.8760,4.2512,5.1448
31.2420,49.6070,35.5104,1291.5532,304.7057,4348.2217,833.3962,4.4117,5.2175
31.3944,49.2387,35.0720,1280.5133,293.9359,4344.6567,838.8962,4.3877,5.1790
31.5468,49.1974,32.7992,1267.8201,293.8113,4328.2329,869.2887,4.3850,4.9791
31.6992,45.1811,33.1991,1256.4313,287.4864,4337.4341,865.0098,4.1227,5.0143
31.8516,45.6945,33.5499,1246.1285,303.4371,4328.2192,857.8845,4.1562,5.0452
32.0040,47.6159,34.1984,1214.8656,292.4112,4300.3452,842.8287,4.2817,5.1023
32.1564,49.0649,33.4167,1188.6830,279.6173,4281.2061,850.5445,4.3763,5.0335
32.3088,56.6719,32.4100,1185.5743,272.8399,4155.3193,840.3596,4.8730,4.9447
32.4612,49.9178,33.1018,1203.0852,260.9933,4000.0215,799.0869,4.4320,5.0057
32.6136,46.7126,35.9065,1178.6683,291.2766,3847.1968,732.4924,4.2227,5.2522
32.7660,57.1670,38.9801,1172.9016,297.4478,3734.7563,676.4210,4.9054,5.5213
32.9184,61.1356,40.4959,1265.2891,291.7902,3634.8782,642.8688,5.1645,5.6542
33.0708,68.7720,41.6946,1233.5762,267.7824,3651.1340,633.9363,5.6631,5.7595
