#HOLE:,940A
#LEG:,155
#TOP:,77.419197
#BOTTOM:,227.076004
DEPTH_WMSF,RHOB,PEF,DRHO
m,g/cm3,barns/e-,g/cm3
113.2332,1.9014,2.8976,0.0092
113.3856,1.8950,2.8564,0.0104
113.5380,1.8858,2.8871,0.0086
113.6904,1.8801,2.8690,0.0089
113.8428,1.8918,2.8504,0.0212
113.9952,1.8943,2.8907,0.0201
114.1476,1.8853,2.8866,0.0088
114.3000,1.8819,2.9618,0.0084
114.4524,1.8785,2.8586,0.0084
114.6048,1.8833,2.8619,0.0181
114.7572,1.8817,2.7602,0.0165
114.9096,1.8844,2.7538,0.0201
115.0620,1.8786,2.8129,0.0142
115.2144,1.8810,2.8252,0.0142
115.3668,1.8844,2.9318,0.0105
115.5192,1.8919,2.8356,0.0096
115.6716,1.8923,2.9071,0.0084
115.8240,1.8922,2.8702,0.0084
115.9764,1.8946,2.9439,0.0086
116.1288,1.9064,2.9069,0.0117
116.2812,1.9095,2.9346,0.0091
116.4336,1.9056,2.8517,0.0100
116.5860,1.8976,2.8233,0.0106
116.7384,1.9002,2.8808,0.0156
116.8908,1.9001,2.9915,0.0143
117.0432,1.9004,3.0747,0.0087
117.1956,1.9003,3.0184,0.0109
117.3480,1.9005,2.9623,0.0123
117.5004,1.9070,2.8492,0.0219
117.6528,1.9014,2.7948,0.0142
117.8052,1.8967,2.8111,0.0082
117.9576,1.8936,2.8864,0.0084
118.1100,1.8994,2.9216,0.0084
118.2624,1.9044,2.9296,0.0082
118.4148,1.9129,2.8988,0.0084
118.5672,1.9094,2.8982,0.0085
118.7196,1.9086,2.9088,0.0081
118.8720,1.9078,2.9459,0.0086
119.0244,1.9071,2.9544,0.0084
119.1768,1.9031,2.9730,0.0092
119.3292,1.8999,2.9205,0.0101
119.4816,1.8974,2.9064,0.0093
119.6340,1.9035,2.8666,0.0107
119.7864,1.9057,2.9143,0.0107
119.9388,1.9069,2.8574,0.0102
120.0912,1.9059,2.7731,0.0121
120.2436,1.9064,2.7198,0.0126
120.3960,1.8965,2.7186,0.0067
120.5484,1.8932,2.7282,0.0046
120.7008,1.8951,2.7647,0.0068
120.8532,1.8946,2.8165,0.0089
121.0056,1.8968,2.8134,0.0099
121.1580,1.9005,2.7739,0.0110
121.3104,1.9073,2.6910,0.0086
121.4628,1.9036,2.7597,0.0095
121.6152,1.8937,2.7296,0.0081
121.7676,1.8884,2.7878,0.0069
121.9200,1.8899,2.6982,0.0089
122.0724,1.8975,2.6573,0.0152
122.2248,1.8881,2.6316,0.0130
122.3772,1.8942,2.7216,0.0186
122.5296,1.8926,2.8641,0.0148
122.6820,1.8934,2.9273,0.0097
122.8344,1.8986,2.8629,0.0077
122.9868,1.9069,2.8011,0.0084
123.1392,1.9152,2.8171,0.0098
123.2916,1.9134,2.9173,0.0100
123.4440,1.9030,2.9613,0.0092
123.5964,1.8937,2.9952,0.0074
123.7488,1.8955,2.9632,0.0146
123.9012,1.8926,2.9246,0.0143
124.0536,1.8851,2.8937,0.0088
124.2060,1.8925,2.9083,0.0093
