#HOLE:,940A
#LEG:,155
#TOP:,83.362801
#BOTTOM:,231.952805
DEPTH_WMSF,FX,FY,FZ,FNOR,DEVI,FINC,RB,P1AZ,HAZI
m,oer,oer,oer,oer,deg,deg,deg,deg,deg,,
109.8804,0.3028,0.0047,0.0797,0.3135,5.1545,19.7645,166.4774,341.6966,175.2723
110.0328,0.3026,0.0198,0.0797,0.3135,5.1567,19.7623,164.3966,339.6342,175.2852
110.1852,0.3026,0.0221,0.0797,0.3135,5.1605,19.7606,161.8604,337.0883,175.2974
110.3376,0.3020,0.0281,0.0798,0.3135,5.1637,19.7570,161.1007,336.3172,175.2863
110.4900,0.3012,0.0346,0.0798,0.3135,5.1633,19.7492,159.8994,335.0652,175.2405
110.6424,0.3002,0.0416,0.0799,0.3135,5.1653,19.7450,158.5356,333.6542,175.1969
110.7948,0.2996,0.0465,0.0799,0.3135,5.1697,19.7447,157.5555,332.5780,175.1051
110.9472,0.2995,0.0466,0.0798,0.3135,5.1718,19.7417,157.3822,332.2899,174.9908
111.0996,0.2993,0.0478,0.0799,0.3135,5.1690,19.7348,157.4357,332.2023,174.8493
111.2520,0.2992,0.0486,0.0799,0.3135,5.1695,19.7333,157.2714,331.8654,174.6778
111.4044,0.2992,0.0489,0.0797,0.3135,5.1721,19.7333,157.9184,332.3725,174.5353
111.5568,0.2996,0.0477,0.0795,0.3135,5.1726,19.7298,158.0845,332.4302,174.4253
111.7092,0.2998,0.0471,0.0795,0.3135,5.1745,19.7264,157.9328,332.1611,174.3097
111.8616,0.2996,0.0478,0.0795,0.3135,5.1770,19.7235,157.9468,332.0499,174.1851
112.0140,0.3015,0.0283,0.0794,0.3135,5.1808,19.7202,159.6756,333.7101,174.1170
112.1664,0.3032,0.0051,0.0792,0.3135,5.1864,19.7194,163.9420,337.9416,174.0572
112.3188,0.3028,0.0157,0.0792,0.3135,5.1953,19.7218,165.5376,339.4497,173.9709
112.4712,0.3025,0.0230,0.0792,0.3135,5.1987,19.7190,163.8161,337.6653,173.9089
112.6236,0.3025,0.0220,0.0791,0.3135,5.2003,19.7155,163.1189,336.9115,173.8584
112.7760,0.3024,0.0222,0.0790,0.3135,5.1999,19.7110,163.2064,336.9341,173.7930
112.9284,0.3021,0.0262,0.0790,0.3135,5.2013,19.7093,163.0603,336.7679,173.7733
113.0808,0.3025,0.0209,0.0792,0.3135,5.2060,19.7120,163.1421,336.8593,173.7827
113.2332,0.3023,0.0245,0.0792,0.3135,5.2063,19.7098,162.6866,336.4099,173.7898
113.3856,0.3021,0.0269,0.0791,0.3135,5.2051,19.7064,162.2608,336.0449,173.8535
113.5380,0.3021,0.0272,0.0791,0.3135,5.2050,19.7049,162.1939,336.0421,173.9171
113.6904,0.3024,0.0237,0.0793,0.3135,5.2070,19.7051,162.5293,336.4843,174.0223
113.8428,0.3030,0.0164,0.0793,0.3134,5.2065,19.7033,163.3301,337.4014,174.1366
113.9952,0.3032,0.0088,0.0793,0.3134,5.2063,19.7018,164.8338,339.0187,174.2384
114.1476,0.3032,0.0066,0.0793,0.3134,5.2047,19.6985,165.5008,339.7749,174.3321
