#HOLE:,940A
#LEG:,155
#TOP:,62.331600
#BOTTOM:,231.800400
DEPTH_WMSF,C1,C2
m,in,in
104.6988,11.3034,13.3318
104.8512,11.2940,13.3365
105.0036,11.3411,13.3318
105.1560,11.3364,13.3365
105.3084,11.3458,13.3411
105.4608,11.2940,13.2202
105.6132,11.3364,13.3179
105.7656,11.3317,13.3365
105.9180,11.3423,13.3325
106.0704,11.3223,13.1318
106.2228,11.3694,13.0386
106.3752,11.6801,13.0200
106.5276,11.8682,13.0246
106.6800,12.0326,13.0246
106.8324,12.1546,13.0153
106.9848,12.1499,13.0479
107.1372,12.1546,13.0153
107.2896,12.2718,13.0805
107.4420,12.1217,12.9547
107.5944,12.1874,13.0386
107.7468,12.1968,12.8613
107.8992,12.2531,12.8987
108.0516,12.3234,12.9780
108.2040,12.3562,13.0153
108.3564,12.3468,12.9920
108.5088,12.3796,13.0199
108.6612,12.3046,12.8286
108.8136,12.3562,12.9080
108.9660,12.6416,12.9920
109.1184,12.1968,12.8987
109.2708,12.1921,12.9547
109.4232,12.2030,13.0486
109.5756,12.5855,14.6806
109.7280,12.0560,13.0526
109.8804,12.1170,13.3086
110.0328,12.1217,13.3504
110.1852,12.0373,13.4479
110.3376,12.1780,13.6333
110.4900,12.2671,13.3272
110.6424,12.4421,13.4996
110.7948,12.4498,13.5314
110.9472,12.4498,13.5128
111.0996,12.4124,13.4850
111.2520,12.4779,13.4479
111.4044,12.5621,13.2853
111.5568,12.4466,13.0841
111.7092,12.5261,13.1865
111.8616,12.5434,13.2109
112.0140,12.5340,13.2156
112.1664,12.5481,13.2202
112.3188,13.1962,13.5962
112.4712,12.3562,12.9173
112.6236,12.3187,13.0200
112.7760,12.6042,13.1644
112.9284,12.7928,13.2069
113.0808,12.4873,13.1318
113.2332,12.3858,13.0561
113.3856,12.2547,12.9024
113.5380,11.9950,12.7772
113.6904,12.1358,12.8520
113.8428,12.3468,12.8800
113.9952,12.2999,12.7445
114.1476,12.2812,12.7492
114.3000,12.1921,12.7679
114.4524,12.1968,12.7679
114.6048,12.2249,12.7679
114.7572,12.3093,12.7819
114.9096,12.3187,12.7679
115.0620,12.3421,12.9873
115.2144,12.3093,12.9127
115.3668,12.3406,12.9821
115.5192,12.4092,12.9024
115.6716,12.4155,12.9028
115.8240,12.1968,12.7632
115.9764,12.2546,12.8010
116.1288,12.3374,12.9313
116.2812,12.4124,12.9267
116.4336,13.0194,13.1784
116.5860,12.5357,14.7137
116.7384,12.4732,13.1737
116.8908,12.3390,12.8277
117.0432,12.3062,12.7156
117.1956,12.3421,12.7538
117.3480,12.3046,12.6790
117.5004,12.3609,12.6697
117.6528,12.5855,12.8520
117.8052,12.8144,13.6056
117.9576,13.3355,15.2201
118.1100,12.6836,13.3178
118.2624,12.5434,12.8520
118.4148,12.5387,12.8660
118.5672,12.5387,12.9220
118.7196,12.4873,12.8099
118.8720,12.4826,12.7912
119.0244,12.5060,12.8239
119.1768,12.5341,12.9033
119.3292,12.7724,13.3875
119.4816,12.5387,12.8940
119.6340,12.6042,13.3690
119.7864,12.9403,13.9889
119.9388,12.8563,14.2280
120.0912,12.3280,13.7674
120.2436,12.2999,13.6796
120.3960,12.3093,13.7813
120.5484,12.5588,14.0192
120.7008,12.3015,13.6179
120.8532,12.2249,13.7813
121.0056,12.1217,13.7813
121.1580,12.1469,13.7796
121.3104,12.1282,13.4094
121.4628,12.1921,14.2418
121.6152,12.5621,13.9659
121.7676,13.0195,14.7445
121.9200,13.0428,14.8354
122.0724,13.3356,15.2336
122.2248,12.8377,13.2296
122.3772,13.3355,14.1177
122.5296,12.6416,13.0899
122.6820,12.7303,13.3318
122.8344,12.7537,13.7073
122.9868,12.7537,13.7581
123.1392,12.7584,13.0106
123.2916,12.9076,13.1411
123.4440,12.5668,12.9873
123.5964,12.6433,13.1091
123.7488,12.7117,13.1876
123.9012,12.6042,12.9500
124.0536,12.5310,12.8758
124.2060,12.5107,12.9033
124.3584,12.6463,12.9966
124.5108,12.6790,13.0246
124.6632,12.5153,12.8660
124.8156,12.6463,12.9500
124.9680,12.9729,13.0526
125.1204,12.5621,12.8613
125.2728,12.5855,12.8940
125.4252,12.7070,12.8847
125.5776,12.8190,12.9920
125.7300,12.8750,13.3459
125.8824,12.5013,15.2157
126.0348,11.9011,15.2202
126.1872,12.4124,15.2427
126.3396,12.2484,15.2201
126.4920,13.2334,14.0625
126.6444,12.8377,13.1412
126.7968,13.3356,15.1841
126.9492,13.3422,14.8912
127.1016,13.3541,14.1958
127.2540,13.3030,13.4525
127.4064,12.2062,13.2249
127.5588,12.2343,13.2202
127.7112,12.2296,13.2156
127.8636,12.3046,13.1784
128.0160,11.9715,13.4433
128.1684,12.2343,13.9474
128.3208,12.3093,14.2050
128.4732,12.3374,14.2693
128.6256,12.3094,14.2510
128.7780,13.2028,15.0362
128.9304,13.3317,15.2129
129.0828,13.3317,15.2174
129.2352,13.3356,15.2202
129.3876,13.3356,15.2202
129.5400,13.3263,15.1344
129.6924,12.7630,14.0856
129.8448,12.7023,14.4662
129.9972,12.5621,14.7263
130.1496,12.5715,14.7308
130.3020,12.5684,14.7366
130.4544,12.5622,14.6717
130.6068,13.3418,15.2353
130.7592,13.0205,14.7539
130.9116,12.8398,14.4287
131.0640,12.8391,14.4603
131.2164,12.8335,14.4360
131.3688,13.0049,14.2403
131.5212,12.9476,14.6221
131.6736,12.9444,14.8132
131.8260,13.0109,14.9150
131.9784,13.0720,14.9971
