#HOLE:,940A
#LEG:,155
#TOP:,0.000000
#BOTTOM:,237.134399
DEPTH_WMSF,SGR,CGR,THOR,URAN,POTA,W1NG,W2NG,W3NG,W4NG,W5NG
m,gAPI,gAPI,ppm,ppm,%,cps,cps,cps,cps,cps
11.2776,23.1867,10.9364,2.1225,1.3839,0.2174,40.3936,13.4646,6.2144,0.0000,1.0357
11.4300,24.2962,11.6487,2.3160,1.4288,0.2206,38.3024,19.1511,3.1056,2.0704,1.0352
11.5824,25.6496,12.8853,2.6045,1.4420,0.2356,50.0249,20.0100,3.0015,1.0005,2.0010
11.7348,25.5896,13.2429,2.7343,1.3948,0.2307,38.7998,22.7625,5.6906,1.0347,2.0693
11.8872,23.9996,13.1999,2.7911,1.2201,0.2170,41.4293,14.5003,4.1429,2.0715,0.0000
12.0396,24.3375,14.1171,3.0661,1.1546,0.2161,38.3222,17.6075,4.1429,1.5536,1.0357
12.1920,24.4345,15.0208,3.2811,1.0635,0.2262,46.0662,19.6687,3.6232,2.0704,1.5528
12.3444,24.8602,15.1737,3.2855,1.0943,0.2342,41.4079,16.0455,4.1408,1.0352,0.5176
12.4968,25.8898,15.8523,3.3225,1.1340,0.2664,43.5218,15.5078,3.0015,1.5008,1.5007
12.6492,27.7973,16.5217,3.4357,1.2738,0.2830,47.6438,20.7146,9.3216,2.0715,1.0357
12.8016,28.8017,16.1398,3.4371,1.4305,0.2605,53.8301,16.0456,4.1408,1.0352,1.5528
12.9540,28.1122,14.5032,3.2213,1.5374,0.2079,40.0000,20.0000,5.0000,4.0000,1.5000
13.1064,27.4786,13.6182,3.0328,1.5658,0.1936,46.0662,16.5632,5.1760,1.0352,3.6232
13.2588,26.8991,12.7768,2.8481,1.5954,0.1811,44.0186,21.7504,4.1429,0.0000,1.0357
13.4112,27.6377,12.2704,2.7749,1.7361,0.1661,44.0001,17.5000,2.5000,1.0000,1.5000
13.5636,26.1391,10.6153,2.4788,1.7538,0.1282,52.7949,18.6335,2.5880,0.5176,3.1056
13.7160,24.9479,9.8389,2.2721,1.7069,0.1239,37.7847,15.0103,4.6584,0.5176,0.5176
13.8684,22.4134,8.4834,1.9161,1.5737,0.1153,37.2478,14.4853,3.6213,1.0347,1.0347
14.0208,21.1395,7.9126,1.7169,1.4943,0.1214,35.7143,16.5631,5.6936,0.5176,0.0000
14.1732,21.6506,8.1058,1.7646,1.5302,0.1232,32.5489,11.5173,5.0075,0.5008,0.0000
14.3256,22.9824,8.8776,1.9192,1.5935,0.1376,37.7847,20.1863,2.0704,1.5528,0.5176
14.4780,25.7930,10.7696,2.2662,1.6972,0.1792,43.4783,17.4913,5.4972,1.9990,0.4998
14.6304,25.4642,10.6583,2.1569,1.6727,0.1944,46.0661,20.1862,3.6232,2.0704,1.0352
14.7828,24.5275,10.1341,1.9799,1.6261,0.1988,38.8801,13.4784,5.7025,0.5184,1.0368
14.9352,23.0518,8.5263,1.6914,1.6410,0.1622,41.4078,17.5983,2.0704,2.0704,0.5176
15.0876,22.4619,7.4994,1.5222,1.6904,0.1358,37.4999,17.0000,3.5000,2.5000,0.0000
15.2400,24.1460,6.8812,1.4703,1.9505,0.1101,33.6616,15.5359,4.1430,1.0358,0.0000
15.3924,24.3927,5.9822,1.3324,2.0799,0.0850,51.7596,11.9048,7.7639,3.1056,0.5176
15.5448,24.7945,5.5656,1.3115,2.1723,0.0649,38.8199,16.5630,4.1408,1.5528,0.0000
15.6972,24.4105,5.0912,1.2943,2.1825,0.0407,40.0602,9.0137,6.0090,1.0015,0.5008
15.8496,23.6511,4.9504,1.3004,2.1127,0.0312,46.0899,18.1253,3.1072,1.0357,2.0715
16.0020,23.5371,5.4525,1.3956,2.0431,0.0417,31.0238,17.5801,4.1365,0.5171,1.5512
16.1544,20.6805,5.5986,1.3148,1.7038,0.0661,35.1966,16.0455,3.6232,0.0000,1.0352
16.3068,20.2453,5.7582,1.3495,1.6366,0.0686,31.0623,14.0280,3.0060,0.5010,1.0020
16.4592,21.8542,6.3532,1.4844,1.7512,0.0766,39.8757,9.8396,1.5536,0.0000,0.5179
16.6116,22.6510,6.7437,1.5661,1.7971,0.0832,41.8604,20.1549,3.1008,2.0672,1.5504
16.7640,23.3503,7.6440,1.6962,1.7744,0.1099,39.8139,11.8925,2.5853,1.5512,1.0341
16.9164,20.9337,7.8163,1.6201,1.4819,0.1350,39.9169,15.0337,2.5920,1.0368,0.5184
17.0688,21.4808,8.5424,1.7621,1.4617,0.1492,31.5159,17.0085,2.5013,0.5003,0.5002
17.2212,20.7438,8.5049,1.7311,1.3827,0.1531,38.7997,19.1412,3.6213,0.5173,0.0000
17.3736,20.6201,8.2689,1.7068,1.3953,0.1442,32.0745,15.5199,3.6213,1.0347,1.0347
17.5260,20.0378,7.8876,1.6072,1.3726,0.1417,31.0720,15.0181,2.5894,1.0357,0.5179
17.6784,20.4608,7.4731,1.5515,1.4672,0.1285,34.1792,16.5717,4.6608,0.5179,1.0357
17.8308,21.6264,7.1360,1.5151,1.6370,0.1161,32.5327,17.5175,3.5035,0.5005,1.0010
17.9832,22.2708,6.6581,1.4287,1.7638,0.1053,40.8902,15.0103,0.5177,0.5176,1.0352
18.1356,21.9148,6.8412,1.3627,1.7029,0.1290,38.2626,14.4777,4.1365,2.0682,0.5171
18.2880,19.9052,6.3370,1.1851,1.5328,0.1348,36.7684,10.3573,4.1429,1.5536,0.0000
18.4404,19.0726,6.0454,1.0485,1.4717,0.1448,27.4470,10.8752,2.5894,0.5179,0.5179
18.5928,19.4403,5.8558,0.9724,1.5347,0.1488,34.6970,12.4289,6.2143,0.0000,0.0000
18.7452,21.3206,6.8710,1.1006,1.6324,0.1826,34.5346,18.5185,0.0001,1.5015,0.5005
18.8976,21.7402,7.7007,1.1647,1.5861,0.2183,36.7495,16.5632,4.6584,0.0000,0.0000
19.0500,22.2100,8.9892,1.3091,1.4936,0.2647,35.6958,18.1065,3.1040,0.5173,1.5520
19.2024,21.0906,9.1491,1.3070,1.3491,0.2745,37.2862,16.5717,4.6608,1.0357,1.5536
19.3548,18.6896,8.1968,1.1850,1.1854,0.2431,28.0280,16.5164,4.0040,1.5015,0.5005
19.5072,18.1701,7.4333,1.0923,1.2130,0.2170,25.3756,10.3574,3.6251,0.5179,0.0000
19.6596,18.9811,7.5322,1.1257,1.2934,0.2161,34.6971,18.1253,3.1072,0.0000,0.5179
19.8120,20.9263,8.7949,1.3723,1.3705,0.2409,37.2670,15.0104,3.6232,0.0000,1.0352
19.9644,21.6556,9.3193,1.5281,1.3937,0.2407,33.1264,16.0456,3.6232,2.0704,0.0000
20.1168,22.1048,9.3359,1.6612,1.4425,0.2153,40.8691,16.5545,2.5867,1.0347,0.0000
20.2692,21.2462,9.1366,1.6364,1.3680,0.2086,37.8238,13.9896,5.1813,0.5181,0.5181
20.4216,20.7003,8.7137,1.6520,1.3542,0.1809,34.1438,9.8293,3.6213,0.0000,0.5173
20.5740,19.9253,8.1653,1.5428,1.3286,0.1706,36.0179,13.5068,5.0025,0.5002,0.5003
20.7264,19.9504,6.9098,1.3892,1.4732,0.1278,28.5122,17.6256,3.6288,0.0000,1.5552
20.8788,18.7079,5.7740,1.1443,1.4612,0.1101,31.5898,10.3574,2.5893,0.5179,1.0357
21.0312,17.7313,4.7493,0.9923,1.4666,0.0804,29.0145,13.5067,2.0010,1.5007,0.0000
21.1836,18.2684,4.3709,0.9804,1.5700,0.0607,29.5032,10.8696,1.5528,0.5176,1.0352
21.3360,17.5468,3.6259,0.9204,1.5727,0.0292,35.1964,10.3520,2.0704,1.5528,1.0352
21.4884,19.5699,3.6413,1.0256,1.7995,0.0093,19.6690,15.0104,2.0704,1.5528,1.5528
