#HOLE:,940A
#LEG:,155
#TOP:,77.419197
#BOTTOM:,227.076004
DEPTH_WMSF,CALI
m,in
161.3916,15.1001
161.5440,15.0978
161.6964,15.0148
161.8488,15.1580
162.0012,15.3361
162.1536,15.3261
162.3060,15.1182
162.4584,15.1746
162.6108,15.1464
162.7632,14.8677
162.9156,14.8789
163.0680,15.3040
163.2204,15.4295
163.3728,15.3355
163.5252,14.9591
163.6776,15.1074
163.8300,15.0637
163.9824,15.4216
164.1348,15.3489
164.2872,14.9619
164.4396,15.5774
164.5920,16.3031
164.7444,16.1229
164.8968,15.2352
165.0492,15.0746
165.2016,14.9746
165.3540,14.9263
165.5064,14.8726
165.6588,14.8907
165.8112,15.0148
165.9636,15.0106
166.1160,14.9976
166.2684,14.9294
166.4208,14.9280
166.5732,14.9674
166.7256,15.1741
166.8780,14.9858
167.0304,15.1948
167.1828,15.3956
167.3352,15.4325
167.4876,15.4042
167.6400,15.0455
167.7924,15.1330
167.9448,15.4115
168.0972,15.3723
168.2496,15.1010
168.4020,15.1160
168.5544,14.9300
168.7068,15.0504
168.8592,15.2297
169.0116,15.2468
169.1640,15.1265
169.3164,15.0572
169.4688,15.0769
169.6212,15.2674
169.7736,15.0286
169.9260,14.9896
170.0784,15.0919
170.2308,15.2165
170.3832,15.3100
170.5356,15.2086
170.6880,15.1399
170.8404,15.1560
170.9928,15.1931
171.1452,15.2841
171.2976,15.2398
171.4500,15.2266
171.6024,15.3717
171.7548,15.1703
171.9072,15.0919
172.0596,15.3504
172.2120,15.4070
172.3644,15.3923
172.5168,15.3760
172.6692,15.1541
172.8216,15.3606
172.9740,15.4247
173.1264,15.2699
173.2788,15.0921
173.4312,15.1453
173.5836,15.1239
173.7360,15.2114
173.8884,15.0457
174.0408,15.0584
174.1932,15.1209
174.3456,15.0431
174.4980,15.1406
174.6504,15.3987
174.8028,15.3995
174.9552,15.3821
175.1076,15.2792
175.2600,15.2588
175.4124,15.2352
175.5648,15.0320
175.7172,15.2626
175.8696,15.0609
176.0220,15.1523
176.1744,14.9763
176.3268,15.0077
176.4792,15.2822
176.6316,15.3841
176.7840,15.3589
176.9364,15.2724
177.0888,15.3537
177.2412,15.4226
177.3936,15.4189
177.5460,15.4102
177.6984,15.4286
177.8508,15.4163
178.0032,15.3537
178.1556,15.4297
178.3080,15.4314
178.4604,15.4161
178.6128,15.4076
178.7652,15.4068
178.9176,15.4215
179.0700,15.4066
179.2224,15.4141
179.3748,15.3555
179.5272,15.2768
179.6796,15.2809
179.8320,15.3938
179.9844,15.3714
180.1368,15.0132
180.2892,15.4017
180.4416,15.4111
180.5940,15.4051
180.7464,15.4100
180.8988,15.2486
181.0512,15.3015
181.2036,15.3155
181.3560,15.1562
181.5084,15.0249
181.6608,14.6696
181.8132,14.7185
181.9656,15.2646
182.1180,15.2436
182.2704,14.9251
182.4228,14.8152
182.5752,14.6775
182.7276,14.7326
182.8800,14.9383
183.0324,15.3823
183.1848,15.1090
183.3372,14.8919
183.4896,15.1912
183.6420,14.8851
183.7944,15.1006
183.9468,15.1407
184.0992,14.9401
184.2516,14.5618
184.4040,14.8386
184.5564,15.1029
184.7088,14.8880
184.8612,14.5453
185.0136,14.5508
185.1660,14.6375
185.3184,14.9528
185.4708,15.1461
185.6232,14.8422
185.7756,14.5941
185.9280,15.0536
186.0804,15.1404
186.2328,14.8385
186.3852,14.6573
186.5376,14.7681
186.6900,15.2542
186.8424,15.2561
186.9948,15.2142
187.1472,14.7128
187.2996,14.6829
187.4520,15.4327
187.6044,15.2034
187.7568,14.8197
187.9092,14.7952
188.0616,15.0821
188.2140,14.8802
188.3664,14.7492
188.5188,14.9881
188.6712,14.9592
188.8236,14.8191
188.9760,14.7315
189.1284,14.7062
189.2808,15.3843
189.4332,15.3667
189.5856,14.9574
189.7380,15.0724
189.8904,14.5581
190.0428,14.5649
190.1952,14.5642
190.3476,14.7304
190.5000,14.5863
190.6524,14.5989
190.8048,14.5728
190.9572,14.7739
191.1096,15.1153
191.2620,15.1684
191.4144,14.8936
191.5668,15.0584
191.7192,14.7594
191.8716,14.5559
192.0240,14.9232
192.1764,14.7849
192.3288,14.4673
192.4812,14.6469
192.6336,14.9096
192.7860,14.8531
192.9384,14.8689
193.0908,15.3741
193.2432,15.3850
193.3956,15.3557
193.5480,14.8396
193.7004,14.6761
193.8528,14.5674
194.0052,14.6198
194.1576,15.1904
194.3100,15.3560
194.4624,15.0404
194.6148,14.4004
194.7672,14.4062
194.9196,14.4103
195.0720,14.5604
195.2244,14.7030
195.3768,14.6332
195.5292,14.5730
195.6816,14.5666
195.8340,14.5883
195.9864,14.4028
196.1388,15.1597
196.2912,15.3322
196.4436,15.2900
196.5960,14.5512
196.7484,14.4979
196.9008,14.4129
197.0532,14.4179
197.2056,14.8347
197.3580,14.5293
197.5104,14.7657
197.6628,14.5453
197.8152,14.5303
197.9676,14.5683
198.1200,14.6777
198.2724,14.6866
198.4248,14.4448
198.5772,14.6697
198.7296,14.9438
198.8820,14.5975
199.0344,14.8340
199.1868,14.9863
199.3392,14.9819
199.4916,14.7684
199.6440,14.7075
199.7964,14.5277
199.9488,14.5186
200.1012,14.6857
200.2536,15.3530
200.4060,14.7673
200.5584,14.6772
200.7108,14.8165
200.8632,14.6058
201.0156,14.6584
201.1680,14.4997
201.3204,14.4950
201.4728,14.6261
201.6252,14.7348
201.7776,14.9114
201.9300,14.8068
202.0824,14.6346
202.2348,14.8625
202.3872,14.5479
202.5396,14.5433
202.6920,14.5297
202.8444,14.8251
202.9968,15.3177
203.1492,15.4617
203.3016,15.3938
203.4540,14.9479
203.6064,14.8166
203.7588,14.7493
203.9112,14.7554
204.0636,14.6931
204.2160,14.8868
204.3684,14.9423
204.5208,15.2308
204.6732,14.9776
204.8256,15.2235
204.9780,15.0970
205.1304,15.0135
205.2828,14.9671
205.4352,14.9659
205.5876,15.3746
205.7400,15.2414
205.8924,15.4614
206.0448,15.2699
206.1972,15.1951
206.3496,15.1413
206.5020,15.1501
206.6544,15.1440
206.8068,15.1687
206.9592,15.2958
207.1116,15.3398
207.2640,15.4266
207.4164,15.3865
207.5688,15.2449
207.7212,15.2609
207.8736,15.3046
208.0260,15.2592
208.1784,15.2583
208.3308,15.2612
208.4832,15.3063
208.6356,15.2803
208.7880,15.2749
208.9404,15.2822
209.0928,15.3057
209.2452,15.2930
209.3976,15.2742
209.5500,15.2766
209.7024,15.2838
209.8548,15.2801
210.0072,15.3002
210.1596,15.2955
210.3120,15.3099
210.4644,15.3420
210.6168,15.4224
210.7692,15.2459
210.9216,15.2633
211.0740,15.2800
211.2264,15.2666
211.3788,15.3497
211.5312,15.3076
211.6836,15.2938
211.8360,15.2951
211.9884,15.3081
212.1408,15.3246
212.2932,15.2249
212.4456,15.4181
212.5980,15.3743
212.7504,15.3796
212.9028,15.3765
213.0552,15.4145
213.2076,15.4797
213.3600,15.5000
213.5124,15.5039
213.6648,15.5085
213.8172,15.4252
213.9696,15.4206
214.1220,15.4221
214.2744,15.4125
214.4268,15.4149
214.5792,15.4690
214.7316,14.9685
214.8840,15.2268
215.0364,15.5331
215.1888,15.3771
215.3412,15.5268
215.4936,15.5208
215.6460,15.5549
215.7984,15.5805
215.9508,15.5723
216.1032,15.5622
216.2556,15.5497
216.4080,15.5643
216.5604,15.5642
216.7128,15.5627
216.8652,15.5642
217.0176,15.5710
217.1700,15.5664
217.3224,15.5592
217.4748,15.5662
217.6272,15.5682
