#HOLE:,940A
#LEG:,155
#TOP:,83.362801
#BOTTOM:,231.952805
DEPTH_WMSF,SGR,CGR,THOR,URAN,POTA,W1NG,W2NG,W3NG,W4NG,W5NG
m,gAPI,gAPI,ppm,ppm,%,cps,cps,cps,cps,cps
103.1748,91.2924,67.3357,10.8441,2.7065,1.7779,205.2188,68.6035,24.5156,4.7559,8.9336
103.3272,94.0381,68.5762,11.1038,2.8765,1.7988,195.5781,70.2344,21.6875,3.4414,6.7891
103.4796,94.3355,69.2093,11.2365,2.8386,1.8094,203.4688,76.4375,27.1406,3.1328,4.0547
103.6320,92.8852,69.0952,11.1381,2.6876,1.8222,217.9375,69.3262,19.5469,5.1758,2.0391
103.7844,90.7956,69.1922,11.0813,2.4406,1.8391,187.1875,68.2031,18.7656,4.7959,5.8555
103.9368,90.0630,70.1251,11.1281,2.2524,1.8842,197.0313,65.0625,26.3281,4.5723,4.1543
104.0892,92.4765,72.4835,11.4992,2.2587,1.9482,207.5313,73.6836,18.4688,3.8789,5.0977
104.2416,93.1885,72.9040,11.5829,2.2916,1.9561,208.3750,71.5730,23.2871,2.5234,4.1912
104.3940,92.8925,72.0559,11.5369,2.3540,1.9158,201.5352,71.8262,21.7148,3.8516,3.9199
104.5464,91.5708,71.9730,11.5263,2.2140,1.9131,203.7754,72.3828,19.5898,6.1328,2.9160
104.6988,91.6406,71.6835,11.4406,2.2546,1.9132,203.0117,70.0273,18.2617,3.4141,3.0000
104.8512,89.9317,69.7222,11.1176,2.2831,1.8628,199.6406,70.4219,20.4922,5.7813,6.9941
105.0036,90.5056,68.1211,10.9180,2.5288,1.8090,190.9063,68.8750,20.5625,1.5547,5.6270
105.1560,91.6283,68.8014,11.1525,2.5788,1.8023,197.3438,74.7266,19.8984,3.7813,4.6777
105.3084,92.3021,69.3252,11.3433,2.5958,1.7951,210.9219,72.2813,22.2031,4.3281,3.9668
105.4608,91.0801,69.0453,11.3658,2.4893,1.7743,198.5938,70.6484,18.3438,3.2031,4.0234
105.6132,90.1596,68.2263,11.2545,2.4779,1.7486,187.2500,73.4141,19.7725,3.9307,5.8975
105.7656,91.0032,68.5607,11.3350,2.5354,1.7522,206.1797,69.8672,20.7852,4.0078,5.8984
105.9180,91.3071,67.8609,11.1942,2.6488,1.7393,197.7500,74.3516,21.6172,5.5781,4.4316
106.0704,91.2914,67.5454,11.1627,2.6826,1.7271,190.4063,75.7054,16.6602,3.8008,5.2490
106.2228,90.6890,67.3181,11.1767,2.6403,1.7111,203.7188,75.8672,16.0156,3.0048,4.9727
106.3752,91.0074,68.2657,11.3771,2.5692,1.7267,191.4219,73.8594,20.8320,3.8516,4.4453
106.5276,88.8815,66.3662,11.1274,2.5436,1.6654,195.6875,67.1680,19.4961,5.6406,6.2227
106.6800,88.3346,65.6957,10.9486,2.5576,1.6617,188.2813,66.6094,19.4531,3.7236,4.1609
106.8324,88.1046,65.0050,10.8068,2.6096,1.6495,198.1250,62.3281,20.8750,4.6016,4.2617
106.9848,89.4986,66.1661,10.9811,2.6359,1.6827,200.1367,67.7012,12.9063,4.7578,4.9268
107.1372,90.1526,67.4077,11.2063,2.5696,1.7105,199.6719,67.5352,19.2344,2.3008,4.9043
107.2896,90.5593,68.3502,11.3569,2.5090,1.7356,199.1250,68.5649,20.6953,3.5613,4.1545
107.4420,91.2206,69.5541,11.5203,2.4477,1.7734,199.2188,70.5625,19.0938,3.5090,3.1289
107.5944,89.4583,68.5183,11.3300,2.3656,1.7507,203.0000,73.9531,21.6406,3.6076,2.4063
107.7468,89.2200,69.0547,11.4726,2.2781,1.7538,182.6563,70.3281,19.6719,5.0547,4.8144
107.8992,89.2727,69.1392,11.6524,2.2745,1.7231,197.4688,65.4697,20.1680,6.6875,4.9502
108.0516,91.0671,69.9551,11.9180,2.3851,1.7181,209.2734,67.2891,17.7344,3.5977,5.9297
108.2040,91.2074,68.8622,11.7939,2.5244,1.6790,201.5938,72.4766,17.0156,1.7767,5.3828
