#HOLE:,940a
#LEG:,155
#TOP:,62.179199
#BOTTOM:,231.800400
DEPTH_WMSF,SGR,CGR,THOR,URAN,POTA,W1NG,W2NG,W3NG,W4NG,W5NG
m,gAPI,gAPI,ppm,ppm,%,cps,cps,cps,cps,cps
73.6092,72.4827,61.5350,9.6436,1.2368,1.6774,198.3083,56.3910,19.7368,4.6992,3.7594
73.7616,71.7995,59.6546,9.2315,1.3720,1.6493,175.7519,59.2105,19.7368,9.3985,2.8195
73.9140,70.7792,57.4614,8.8302,1.5046,1.6009,184.2105,68.6090,27.2556,3.7594,2.8195
74.0664,72.8192,58.9709,9.1379,1.5645,1.6280,176.5258,61.9718,16.9014,2.8169,4.6948
74.2188,72.2986,58.1841,9.0408,1.5946,1.6014,176.5258,72.3005,17.8404,4.6948,11.2676
74.3712,77.7260,61.4439,9.6225,1.8394,1.6762,187.8816,64.8192,14.0911,1.8788,0.9394
74.5236,82.2248,62.3608,9.7892,2.2441,1.6967,199.2481,81.7669,21.6165,2.8195,4.6992
74.6760,86.9371,63.7490,10.0968,2.6196,1.7167,193.4272,91.0798,20.6573,6.5728,4.6948
74.8284,88.7742,63.8778,10.1182,2.8126,1.7200,199.2481,73.3083,22.5564,7.5188,6.5789
74.9808,89.6281,63.2579,10.1046,2.9791,1.6866,215.0235,70.4225,25.3521,4.6948,2.8169
75.1332,89.9307,62.3324,10.0443,3.1179,1.6446,203.3050,76.1142,24.0361,4.0060,6.0090
75.2856,88.8303,60.1395,9.7859,3.2413,1.5680,199.1545,69.5162,23.4852,4.6970,2.8182
75.4380,89.7188,60.9453,10.0301,3.2506,1.5666,211.2676,57.2770,20.6573,2.8169,3.7559
75.5904,94.1225,63.4404,10.5187,3.4662,1.6154,222.7444,61.0902,20.6767,5.6391,4.6992
75.7428,97.3749,63.0331,10.4271,3.8797,1.6097,229.1080,72.3005,23.4742,4.6948,6.5728
75.8952,97.0285,60.4905,9.9460,4.1278,1.5568,215.0235,79.8122,18.7793,4.6948,3.7559
76.0476,93.3518,56.0655,9.2374,4.2123,1.4391,201.6886,83.4897,12.1951,2.8143,4.6904
76.2000,94.7791,57.5821,9.5942,4.2022,1.4569,195.4887,73.3083,18.7970,6.5789,3.7594
76.3524,94.2086,57.1209,9.3974,4.1899,1.4690,230.5882,71.5294,25.4118,4.7059,3.7647
76.5048,95.8567,58.4704,9.5460,4.2236,1.5182,190.4762,75.1880,27.0677,2.0050,5.0125
76.6572,92.3733,56.7930,9.3706,4.0196,1.4552,200.0000,80.7512,17.8404,6.5728,5.6338
76.8096,90.4033,57.0092,9.6996,3.7726,1.4027,200.9382,64.7890,20.6572,5.6338,3.7558
76.9620,90.8907,59.4127,10.3253,3.5562,1.4190,176.3595,72.2329,16.8854,6.5666,2.8142
77.1144,95.7554,62.6354,10.9698,3.7417,1.4793,194.6411,85.5665,18.8059,2.8209,6.5819
77.2668,99.4692,63.9403,11.3113,4.0138,1.4878,220.6570,83.5675,21.5962,4.6949,2.8169
77.4192,100.8594,63.6223,11.4248,4.2068,1.4468,210.3286,63.8501,18.7794,5.6338,2.8170
77.5716,100.2415,63.2092,11.4637,4.1836,1.4151,210.3296,74.1779,21.5961,5.6338,5.6337
77.7240,99.7809,64.2127,11.7338,4.0182,1.4201,241.5398,59.2110,15.9777,5.6391,3.7595
77.8764,97.6622,63.9032,11.6504,3.8138,1.4186,191.5493,74.1784,24.4131,5.6338,5.6338
78.0288,95.0939,62.1340,11.4795,3.7236,1.3494,191.7293,73.3083,30.0752,4.6992,1.8797
78.1812,95.9230,60.8815,11.3251,3.9587,1.3069,211.5656,66.7607,15.9850,5.6417,4.7015
78.3336,95.7850,60.2395,11.2378,4.0157,1.2868,201.8779,73.2394,16.9014,4.6948,12.2066
78.4860,98.1645,63.0393,11.6428,3.9682,1.3698,194.3662,72.3005,22.5352,3.7559,6.5728
78.6384,95.4688,62.0335,11.3312,3.7773,1.3728,216.9014,75.1174,27.2300,4.6948,6.5728
78.7908,99.1100,65.1207,11.7536,3.8399,1.4691,195.4887,68.1704,16.0401,6.0150,2.0050
78.9432,98.9177,64.9002,11.5864,3.8431,1.4893,224.5186,88.3044,16.9093,4.6970,7.5153
79.0956,99.3264,66.4074,11.7346,3.7189,1.5478,234.4095,62.8041,19.4604,7.9611,6.1920
79.2480,97.5924,66.0910,11.6040,3.5588,1.5552,184.0376,78.8732,19.7183,4.6948,4.6948
79.4004,93.7951,64.3843,11.1765,3.3226,1.5403,223.6842,73.3083,10.3383,3.7594,7.5188
79.5528,96.0917,65.8264,11.5358,3.4192,1.5533,209.3140,62.0931,20.0300,1.0015,1.0015
79.7052,93.8679,64.4076,11.4187,3.3282,1.4938,200.7505,76.9231,21.5760,6.5666,5.6285
79.8576,95.9734,63.8799,11.4462,3.6257,1.4576,201.1278,78.9474,10.3383,3.7594,1.8797
80.0100,93.0100,59.8361,10.7431,3.7477,1.3611,201.9728,67.6374,29.1217,3.7576,5.6364
80.1624,93.1583,55.9501,10.0726,4.2035,1.2673,180.4511,72.3684,15.0376,4.6992,4.6992
80.3148,89.2914,52.2905,9.3699,4.1801,1.1931,205.2189,65.4578,16.8067,3.5383,0.8846
80.4672,91.3375,52.5455,9.1949,4.3824,1.2426,181.2207,61.9718,22.5352,0.9390,2.8169
80.6196,94.8239,54.0340,9.1898,4.6081,1.3302,184.9765,82.6291,19.7183,5.6338,3.7559
80.7720,98.1091,54.6707,9.2830,4.9073,1.3489,215.2256,75.1880,22.5564,3.7594,4.6992
80.9244,102.4598,56.4619,9.5822,5.1965,1.3941,199.3418,64.8801,22.5670,5.6417,5.6417
81.0768,99.4736,54.9494,9.3979,5.0300,1.3424,227.2300,80.7512,19.7183,1.8779,3.7559
81.2292,100.4853,55.7995,9.4498,5.0483,1.3817,191.3696,71.2946,17.8236,7.5047,3.7523
81.3816,98.1245,56.4315,9.3526,4.7102,1.4377,191.0956,81.0405,20.0100,5.0025,8.0040
81.5340,98.1148,56.7894,9.2239,4.6686,1.4840,207.7068,84.5865,14.0977,4.6992,4.6992
81.6864,97.2921,57.1501,9.0674,4.5349,1.5359,190.7895,75.1880,18.7970,6.5789,5.6391
81.8388,94.9201,55.5986,8.8096,4.4423,1.4965,199.0610,75.1174,21.5962,3.7559,2.8169
81.9912,97.5320,58.6080,9.3771,4.3973,1.5596,195.3969,68.5768,24.4246,3.7576,0.9394
82.1436,97.8271,60.4864,9.8810,4.2185,1.5694,213.1455,80.7512,18.7793,3.7559,2.8169
82.2960,101.0299,63.1165,10.5834,4.2832,1.5837,189.6714,76.9953,23.4742,8.4507,4.6948
82.4484,100.1091,62.5001,10.5923,4.2488,1.5460,224.6241,69.5489,13.1579,6.5789,6.5789
82.6008,99.8374,60.8029,10.4942,4.4098,1.4666,206.0207,72.4365,21.6369,5.6444,6.5851
