#HOLE:,940A
#LEG:,155
#TOP:,75.895203
#BOTTOM:,235.000793
DEPTH_WMSF,IDPH,IMPH,SFLU
m,ohmm,ohmm,ohmm
132.1308,1.2221,1.1454,1.0718
132.2832,1.2099,1.1315,1.0680
132.4356,1.1909,1.1218,0.9757
132.5880,1.1960,1.1244,0.9629
132.7404,1.1945,1.1430,1.0194
132.8928,1.1942,1.1736,0.9892
133.0452,1.1814,1.2031,1.0034
133.1976,1.1828,1.2154,1.0111
133.3500,1.1880,1.2078,1.0558
133.5024,1.2004,1.1957,1.0009
133.6548,1.2638,1.1958,1.0319
133.8072,1.2976,1.2170,1.0185
133.9596,1.3101,1.2596,1.0154
134.1120,1.3170,1.3126,1.1211
134.2644,1.3251,1.3559,1.0266
134.4168,1.3381,1.3758,1.1175
134.5692,1.3426,1.3726,1.2836
134.7216,1.3476,1.3546,1.1563
134.8740,1.3782,1.3325,1.2187
135.0264,1.3790,1.3152,1.2285
135.1788,1.3796,1.3068,1.1850
135.3312,1.3797,1.3080,1.1578
135.4836,1.3804,1.3187,1.1605
135.6360,1.3801,1.3344,1.1706
135.7884,1.3786,1.3466,1.2090
135.9408,1.3763,1.3483,1.2670
136.0932,1.3774,1.3384,1.2453
136.2456,1.3762,1.3219,1.2531
136.3980,1.3746,1.3104,1.1973
136.5504,1.3917,1.3159,1.1676
136.7028,1.3760,1.3406,1.1765
136.8552,1.3768,1.3709,1.2543
137.0076,1.3965,1.3850,1.3665
137.1600,1.3716,1.3722,1.3529
137.3124,1.3787,1.3423,1.2933
137.4648,1.3810,1.3144,1.1531
137.6172,1.3804,1.3013,1.2276
137.7696,1.3792,1.3036,1.2161
137.9220,1.3640,1.3140,1.0592
138.0744,1.3819,1.3286,1.1844
138.2268,1.3691,1.3482,1.1355
138.3792,1.3745,1.3706,1.1557
138.5316,1.4255,1.3916,1.1390
138.6840,1.4411,1.4074,1.2266
138.8364,1.4452,1.4141,1.3086
138.9888,1.4467,1.4104,1.3564
139.1412,1.4438,1.4026,1.3166
139.2936,1.4325,1.3954,1.3247
139.4460,1.4328,1.3849,1.2544
139.5984,1.4359,1.3654,1.3160
139.7508,1.4191,1.3353,1.3289
139.9032,1.3945,1.3007,1.3269
140.0556,1.4090,1.2781,1.2209
140.2080,1.4179,1.2840,1.0317
140.3604,1.4120,1.3196,1.0293
140.5128,1.4253,1.3713,1.0079
140.6652,1.4803,1.4217,1.0595
140.8176,1.5137,1.4600,1.2236
140.9700,1.5584,1.4882,1.3546
141.1224,1.5593,1.5154,1.3809
141.2748,1.5433,1.5423,1.3440
141.4272,1.6162,1.5605,1.3835
141.5796,1.6618,1.5715,1.4898
141.7320,1.6695,1.5872,1.4139
141.8844,1.6731,1.6144,1.3393
142.0368,1.6769,1.6489,1.3311
142.1892,1.6703,1.6781,1.4100
142.3416,1.6689,1.6856,1.4033
142.4940,1.6687,1.6657,1.4201
142.6464,1.6577,1.6305,1.4139
142.7988,1.6492,1.5954,1.4156
142.9512,1.6417,1.5691,1.4096
143.1036,1.6198,1.5518,1.4522
143.2560,1.6035,1.5365,1.4841
143.4084,1.6253,1.5178,1.4792
143.5608,1.5894,1.5012,1.4376
143.7132,1.5714,1.4964,1.3552
143.8656,1.5708,1.5030,1.3784
144.0180,1.5547,1.5114,1.4154
144.1704,1.5215,1.5124,1.4420
144.3228,1.5135,1.5029,1.3917
144.4752,1.5096,1.4853,1.4033
144.6276,1.5061,1.4657,1.3604
144.7800,1.5002,1.4476,1.3771
144.9324,1.4867,1.4314,1.3436
145.0848,1.4839,1.4192,1.3268
145.2372,1.4884,1.4141,1.3384
145.3896,1.4722,1.4142,1.3384
145.5420,1.4706,1.4156,1.3364
145.6944,1.4701,1.4175,1.3376
145.8468,1.4695,1.4215,1.3158
145.9992,1.4769,1.4272,1.3183
146.1516,1.4885,1.4346,1.3035
146.3040,1.4939,1.4439,1.3466
146.4564,1.4965,1.4537,1.4153
146.6088,1.5084,1.4625,1.3955
146.7612,1.5153,1.4697,1.3650
146.9136,1.5196,1.4745,1.4173
147.0660,1.5248,1.4757,1.4345
147.2184,1.5244,1.4750,1.4234
147.3708,1.5240,1.4741,1.4257
147.5232,1.5210,1.4723,1.4172
147.6756,1.5136,1.4691,1.4011
147.8280,1.5094,1.4650,1.4023
147.9804,1.5048,1.4603,1.3778
148.1328,1.5018,1.4553,1.3807
148.2852,1.4987,1.4507,1.3795
148.4376,1.4944,1.4470,1.3883
148.5900,1.4916,1.4438,1.3592
148.7424,1.4887,1.4404,1.3729
148.8948,1.4850,1.4363,1.3913
149.0472,1.4796,1.4309,1.3929
149.1996,1.4823,1.4248,1.4006
149.3520,1.4801,1.4195,1.3303
149.5044,1.4777,1.4164,1.3159
149.6568,1.4729,1.4157,1.3167
149.8092,1.4667,1.4162,1.3228
149.9616,1.4651,1.4155,1.3594
150.1140,1.4661,1.4121,1.3487
150.2664,1.4597,1.4067,1.3468
150.4188,1.4642,1.4018,1.3568
150.5712,1.4644,1.4003,1.3132
150.7236,1.4644,1.4034,1.3402
150.8760,1.4647,1.4098,1.3400
151.0284,1.4652,1.4169,1.3320
151.1808,1.4661,1.4217,1.3257
151.3332,1.4689,1.4225,1.3248
151.4856,1.4693,1.4196,1.3282
151.6380,1.4672,1.4152,1.3015
151.7904,1.4672,1.4117,1.2946
151.9428,1.4667,1.4098,1.3117
152.0952,1.4655,1.4084,1.3081
152.2476,1.4651,1.4066,1.3223
152.4000,1.4665,1.4037,1.3302
152.5524,1.4566,1.3979,1.3428
152.7048,1.4521,1.3870,1.3518
152.8572,1.4498,1.3731,1.3521
153.0096,1.4451,1.3607,1.3248
153.1620,1.3827,1.3493,1.3518
153.3144,1.3612,1.3346,1.1680
153.4668,1.3593,1.3138,1.0311
153.6192,1.3577,1.2882,1.0319
153.7716,1.3663,1.2652,1.0353
153.9240,1.3715,1.2568,1.0545
154.0764,1.3735,1.2702,1.0577
154.2288,1.3887,1.3018,1.1585
154.3812,1.4047,1.3420,1.1516
154.5336,1.4173,1.3793,1.1646
154.6860,1.4398,1.4032,1.3476
154.8384,1.4523,1.4129,1.3274
154.9908,1.4723,1.4173,1.3132
155.1432,1.4804,1.4217,1.3032
155.2956,1.4820,1.4238,1.3117
155.4480,1.4830,1.4224,1.3248
155.6004,1.4717,1.4196,1.3592
155.7528,1.4704,1.4171,1.3562
155.9052,1.4693,1.4170,1.3130
156.0576,1.4684,1.4218,1.2684
156.2100,1.4706,1.4298,1.2737
156.3624,1.4651,1.4361,1.2798
156.5148,1.4574,1.4363,1.3261
156.6672,1.4544,1.4285,1.3387
156.8196,1.4528,1.4145,1.3465
156.9720,1.4490,1.3993,1.3400
157.1244,1.4448,1.3881,1.3111
157.2768,1.4388,1.3829,1.2870
157.4292,1.4353,1.3817,1.2954
157.5816,1.4341,1.3818,1.3100
157.7340,1.4320,1.3813,1.3106
157.8864,1.4318,1.3797,1.3328
158.0388,1.4322,1.3769,1.3017
158.1912,1.4263,1.3737,1.2762
158.3436,1.4205,1.3700,1.2906
158.4960,1.4169,1.3643,1.2948
158.6484,1.3943,1.3538,1.3151
158.8008,1.3839,1.3382,1.3015
158.9532,1.3849,1.3218,1.2839
159.1056,1.3855,1.3118,1.1652
159.2580,1.3896,1.3147,1.1574
159.4104,1.3928,1.3335,1.1613
159.5628,1.3978,1.3667,1.2865
159.7152,1.4181,1.4077,1.3702
159.8676,1.4403,1.4461,1.3690
160.0200,1.4555,1.4705,1.3906
160.1724,1.4508,1.4731,1.3866
160.3248,1.4560,1.4572,1.3773
160.4772,1.4735,1.4344,1.3679
160.6296,1.4634,1.4142,1.3102
160.7820,1.4574,1.3999,1.2780
160.9344,1.4530,1.3909,1.2876
161.0868,1.4502,1.3856,1.2539
161.2392,1.4422,1.3831,1.2607
161.3916,1.4327,1.3833,1.2690
161.5440,1.4337,1.3845,1.3006
161.6964,1.4309,1.3834,1.2445
161.8488,1.4281,1.3785,1.2599
