#HOLE:,940A
#LEG:,155
#TOP:,62.179199
#BOTTOM:,231.800400
DEPTH_WMSF,FX,FY,FZ,FNOR,DEVI,FINC,RB,P1AZ,HAZI
m,oer,oer,oer,oer,deg,deg,deg,deg,deg
79.7052,0.1948,0.2318,0.1581,0.3456,4.7920,33.4699,113.5029,290.3080,176.8784
79.8576,0.2136,0.2145,0.1490,0.3431,4.7955,32.6833,118.8916,295.6539,176.8471
80.0100,0.2095,0.2183,0.1454,0.3415,4.7923,32.2055,119.1260,295.7762,176.7354
80.1624,0.2121,0.2157,0.1451,0.3402,4.7898,31.7562,119.1039,295.7234,176.7046
80.3148,0.2127,0.2156,0.1471,0.3384,4.8044,31.1733,119.3890,295.9684,176.6656
80.4672,0.2127,0.2152,0.1437,0.3361,4.8080,30.3885,119.5079,296.0575,176.6361
80.6196,0.2104,0.2170,0.1331,0.3337,4.8148,29.5522,119.4295,295.9357,176.5927
80.7720,0.1970,0.2299,0.1266,0.3317,4.8085,28.8244,117.0354,293.4185,176.4648
80.9244,0.1885,0.2369,0.1245,0.3302,4.7890,28.2274,113.7531,290.1331,176.4538
81.0768,0.1885,0.2370,0.1243,0.3291,4.7798,27.7592,113.6239,289.9455,176.3947
81.2292,0.1853,0.2394,0.1246,0.3282,4.7749,27.3887,113.0140,289.2929,176.3504
81.3816,0.1864,0.2383,0.1244,0.3274,4.7700,27.0558,112.8472,289.1655,176.3893
81.5340,0.1864,0.2381,0.1214,0.3266,4.7816,26.7354,113.2636,289.4937,176.3025
81.6864,0.1843,0.2399,0.1178,0.3257,4.7842,26.3739,112.8785,289.1018,176.2948
81.8388,0.1769,0.2452,0.1157,0.3248,4.7686,25.9883,111.4997,287.7589,176.3269
81.9912,0.1786,0.2439,0.1141,0.3242,4.7670,25.6918,111.3890,287.5301,176.2085
82.1436,0.1799,0.2431,0.1132,0.3237,4.7532,25.4600,111.1208,287.3420,176.2875
82.2960,0.1809,0.2421,0.1132,0.3233,4.7570,25.2728,111.9266,288.1367,176.2784
82.4484,0.1813,0.2422,0.1123,0.3228,4.7671,25.0875,111.8014,288.0443,176.3112
82.6008,0.1811,0.2424,0.1112,0.3224,4.7630,24.8682,111.8617,288.1166,176.3233
82.7532,0.1762,0.2458,0.1092,0.3219,4.7554,24.6398,111.2774,287.5161,176.3054
82.9056,0.1649,0.2533,0.1076,0.3215,4.7496,24.4267,108.9370,285.2043,176.3277
83.0580,0.1645,0.2536,0.1070,0.3211,4.7702,24.2697,107.9442,284.2486,176.3625
83.2104,0.1648,0.2536,0.1064,0.3208,4.7632,24.1011,108.0940,284.2651,176.2296
83.3628,0.1656,0.2530,0.1057,0.3205,4.7698,23.9439,108.0922,284.3335,176.2999
83.5152,0.1660,0.2530,0.1046,0.3202,4.7903,23.8072,108.2796,284.4704,176.2504
83.6676,0.1765,0.2458,0.1041,0.3199,4.8043,23.6559,109.9656,286.1526,176.2516
83.8200,0.1548,0.2596,0.1020,0.3196,4.8198,23.5086,107.6917,283.8730,176.2400
83.9724,0.1459,0.2648,0.1019,0.3194,4.8453,23.3792,104.5308,280.6441,176.1630
84.1248,0.1453,0.2650,0.1016,0.3191,4.8526,23.2424,103.9134,280.0883,176.2229
84.2772,0.1446,0.2660,0.1006,0.3189,4.8737,23.1308,103.7772,279.9192,176.1899
84.4296,0.1535,0.2608,0.0996,0.3187,4.8965,23.0239,104.3131,280.3790,176.1160
84.5820,0.1426,0.2674,0.0983,0.3185,4.9135,22.9107,104.5329,280.6068,176.1250
84.7344,0.1563,0.2595,0.0974,0.3183,4.9491,22.8186,105.3269,281.3865,176.1140
84.8868,0.1549,0.2602,0.0972,0.3181,4.9675,22.7128,106.0710,282.1040,176.0903
85.0392,0.1548,0.2603,0.0967,0.3179,4.9651,22.5863,106.0373,282.0509,176.0707
85.1916,0.1541,0.2611,0.0959,0.3177,4.9888,22.5047,105.7792,281.7796,176.0572
85.3440,0.1537,0.2608,0.0958,0.3176,5.0287,22.4452,105.8111,281.8106,176.0574
85.4964,0.1485,0.2639,0.0948,0.3174,5.0412,22.3557,104.7089,280.6430,175.9886
85.6488,0.1413,0.2675,0.0939,0.3173,5.0389,22.2470,104.4942,280.3545,175.9140
85.8012,0.1351,0.2711,0.0937,0.3171,5.0564,22.1580,101.9857,277.9483,176.0079
85.9536,0.1438,0.2668,0.0934,0.3170,5.0697,22.0787,103.2016,279.1643,176.0126
86.1060,0.1461,0.2653,0.0927,0.3168,5.0800,22.0072,103.4782,279.4157,175.9885
86.2584,0.1457,0.2653,0.0920,0.3167,5.0868,21.9395,104.6614,280.5761,175.9700
86.4108,0.1455,0.2655,0.0925,0.3166,5.0935,21.8687,104.0826,279.9819,175.9527
86.5632,0.1480,0.2641,0.0921,0.3164,5.0945,21.7952,104.1018,279.9966,175.9483
86.7156,0.1509,0.2624,0.0911,0.3163,5.0987,21.7259,105.2647,281.1207,175.9136
86.8680,0.1525,0.2617,0.0904,0.3162,5.0977,21.6602,105.4978,281.3681,175.9286
87.0204,0.1541,0.2608,0.0899,0.3162,5.1022,21.6058,105.7056,281.6006,175.9541
87.1728,0.1511,0.2623,0.0894,0.3161,5.1015,21.5486,105.6652,281.5451,175.9389
87.3252,0.1486,0.2639,0.0894,0.3160,5.1003,21.4891,104.7564,280.6725,175.9720
87.4776,0.1460,0.2654,0.0897,0.3160,5.1026,21.4410,104.2325,280.1447,175.9664
87.6300,0.1445,0.2659,0.0891,0.3159,5.1100,21.4023,103.9962,279.8936,175.9509
87.7824,0.1492,0.2639,0.0888,0.3159,5.1153,21.3554,104.2082,280.0985,175.9446
87.9348,0.1530,0.2615,0.0888,0.3158,5.1066,21.2923,105.2562,281.1245,175.9261
88.0872,0.1703,0.2505,0.0886,0.3157,5.1167,21.2530,108.2135,284.0812,175.9355
