Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Vel.(m/s)
155	 940	A	  2	H	 6	  67.20	      10.972	 1499.300
155	 940	A	  2	H	 6	  69.60	      10.996	 1490.200
155	 940	A	  2	H	 6	  72.10	      11.021	 1488.400
155	 940	A	  2	H	 6	  74.60	      11.046	 1497.400
155	 940	A	  2	H	 6	  77.00	      11.070	 1492.000
155	 940	A	  2	H	 6	  82.10	      11.121	 1492.100
155	 940	A	  2	H	 6	  84.50	      11.145	 1495.700
155	 940	A	  2	H	 6	  87.00	      11.170	 1493.900
155	 940	A	  2	H	 6	  89.50	      11.195	 1495.700
155	 940	A	  2	H	 6	  92.10	      11.221	 1501.200
155	 940	A	  2	H	 6	  94.60	      11.246	 1492.100
155	 940	A	  2	H	 6	  97.00	      11.270	 1501.200
155	 940	A	  2	H	 6	  99.50	      11.295	 1514.100
155	 940	A	  2	H	 6	 102.00	      11.320	 1495.700
155	 940	A	  2	H	 6	 104.60	      11.346	 1495.700
155	 940	A	  2	H	 6	 107.00	      11.370	 1495.700
155	 940	A	  2	H	 6	 109.50	      11.395	 1492.100
155	 940	A	  2	H	 6	 112.00	      11.420	 1499.300
155	 940	A	  2	H	 6	 114.50	      11.445	 1492.100
155	 940	A	  2	H	 6	 117.00	      11.470	 1499.300
155	 940	A	  2	H	 6	 119.50	      11.495	 1499.300
155	 940	A	  2	H	 6	 122.10	      11.521	 1501.200
155	 940	A	  2	H	 6	 124.60	      11.546	 1501.200
155	 940	A	  2	H	 6	 127.00	      11.570	 1504.900
155	 940	A	  2	H	 6	 129.50	      11.595	 1503.000
155	 940	A	  2	H	 6	 132.10	      11.621	 1503.000
155	 940	A	  2	H	 6	 134.50	      11.645	 1503.100
155	 940	A	  2	H	 6	 137.00	      11.670	 1503.100
155	 940	A	  2	H	 6	 139.50	      11.695	 1499.500
155	 940	A	  2	H	 6	 142.00	      11.720	 1501.300
155	 940	A	  2	H	 6	 144.70	      11.747	 1114.400
155	 940	A	  2	H	 6	 147.00	      11.770	 1721.900
155	 940	A	  2	H	 7	   4.50	      11.845	 1961.700
155	 940	A	  2	H	 7	   7.00	      11.870	 1572.000
155	 940	A	  2	H	 7	   9.70	      11.897	 2013.200
155	 940	A	  2	H	 7	  12.00	      11.920	 2020.000
155	 940	A	  2	H	 7	  14.50	      11.945	 2023.300
155	 940	A	  2	H	 7	  17.00	      11.970	 2023.300
155	 940	A	  2	H	 7	  19.50	      11.995	 2023.300
155	 940	A	  2	H	 7	  22.00	      12.020	 2016.700
155	 940	A	  2	H	 7	  24.60	      12.046	 2014.200
155	 940	A	  2	H	 7	  27.20	      12.072	 2017.500
155	 940	A	  2	H	 7	  29.50	      12.095	 2014.200
155	 940	A	  2	H	 7	  32.00	      12.120	 2018.200
155	 940	A	  2	H	 7	  34.60	      12.146	 2018.200
155	 940	A	  2	H	 7	  37.20	      12.172	 2018.200
155	 940	A	  2	H	 7	  39.50	      12.195	 2018.200
155	 940	A	  2	H	 7	  42.10	      12.221	 2018.200
155	 940	A	  2	H	 7	  44.50	      12.245	 2018.200
155	 940	A	  2	H	 7	  47.00	      12.270	 2018.200
155	 940	A	  2	H	 7	  49.50	      12.295	 2018.200
