Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Vel.(m/s)
155	 940	A	  4	H	 4	 102.10	      27.321	 1711.700
155	 940	A	  4	H	 4	 104.50	      27.345	  779.100
155	 940	A	  4	H	 4	 107.00	      27.370	 1711.700
155	 940	A	  4	H	 4	 109.60	      27.396	  564.700
155	 940	A	  4	H	 4	 112.00	      27.420	  442.900
155	 940	A	  4	H	 4	 114.60	      27.446	 1706.100
155	 940	A	  4	H	 4	 117.00	      27.470	  442.900
155	 940	A	  4	H	 4	 119.50	      27.495	  399.800
155	 940	A	  4	H	 4	 122.10	      27.521	 1692.400
155	 940	A	  4	H	 4	 124.50	      27.545	 1697.800
155	 940	A	  4	H	 4	 127.10	      27.571	  309.400
155	 940	A	  4	H	 4	 129.50	      27.595	 1626.900
155	 940	A	  4	H	 4	 132.10	      27.621	 1703.300
155	 940	A	  4	H	 4	 134.50	      27.645	 1708.900
155	 940	A	  4	H	 4	 137.00	      27.670	  268.900
155	 940	A	  4	H	 4	 139.50	      27.695	 1706.100
155	 940	A	  4	H	 4	 142.20	      27.722	 1700.600
155	 940	A	  4	H	 4	 144.50	      27.745	 1695.100
155	 940	A	  4	H	 4	 147.00	      27.770	 1703.300
155	 940	A	  4	H	 4	 149.50	      27.795	 1711.700
