Leg	Site	H	Cor	T	Sc	Top(cm)	Bot(cm)	Depth (mbsf)	Shear_Strength	Max_Torque_Angle	Residual_Strength	Resi_Torque_Angle	Run_Num	Run_Date_Time	XYZ	Rotation_Rate	              Vane_ID	            Spring_ID	Raw_Data
155	 940	A	 24	X	 3	  72.00	  72.00	     213.720	        44.200	           60.50	                 	                 	   2119	    28-JAN-85	  X	           90	                    4	                    3	       N
155	 940	A	 24	X	 5	  51.00	  51.00	     216.510	        45.200	           61.90	                 	                 	   2122	    28-JAN-85	  X	           90	                    4	                    3	       N
155	 940	A	 25	X	 1	  67.00	  67.00	     220.370	        35.400	           48.50	                 	                 	   2118	    28-JAN-85	  X	           90	                    4	                    3	       N
155	 940	A	 26	X	 1	  80.00	  80.00	     230.100	        40.600	           55.50	                 	                 	   2123	    28-JAN-85	  X	           90	                    4	                    3	       N
155	 940	A	 26	X	 3	  80.00	  80.00	     233.100	        51.900	           71.00	                 	                 	   2124	    28-JAN-85	  X	           90	                    4	                    3	       N
155	 940	A	 26	X	 5	  60.00	  60.00	     235.900	        47.800	           65.40	           21.726	            29.70	   2125	    28-JAN-85	  X	           90	                    4	                    3	       N
155	 940	A	 27	X	 1	 100.00	 100.00	     240.000	        67.100	           53.40	                 	                 	   2556	    28-JAN-85	  X	           90	                    4	                    4	       N
155	 940	A	 27	X	 2	  85.00	  85.00	     241.350	        70.600	           56.20	           56.076	            44.60	   2557	    28-JAN-85	  X	           90	                    4	                    4	       N
155	 940	A	 27	X	 3	  59.00	  59.00	     242.590	        91.000	           72.40	           70.912	            56.40	   2558	    28-JAN-85	  X	           90	                    4	                    4	       N
155	 940	A	 27	X	 4	  78.00	  78.00	     244.280	        73.400	           58.40	           54.441	            43.30	   2559	    28-JAN-85	  X	           90	                    4	                    4	       N
155	 940	A	 27	X	 5	  70.00	  70.00	     245.700	        86.600	           68.90	           62.740	            49.90	   2560	    28-JAN-85	  X	           90	                    4	                    4	       N
155	 940	A	 27	X	 6	  68.00	  68.00	     247.100	        96.300	           76.60	           90.023	            71.60	   2561	    28-JAN-85	  X	           90	                    4	                    4	       N
