Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Density (g/cc)	
155	 940	A	 16	X	 1	  62.0	     133.620	         2.046	
155	 940	A	 16	X	 1	  64.7	     133.647	         2.070	
155	 940	A	 16	X	 1	  67.0	     133.670	         2.094	
155	 940	A	 16	X	 1	  68.7	     133.687	         2.044	
155	 940	A	 16	X	 1	  71.2	     133.712	         2.100	
155	 940	A	 16	X	 1	  72.0	     133.720	         2.114	
155	 940	A	 16	X	 1	  72.7	     133.727	         2.067	
155	 940	A	 16	X	 1	  75.0	     133.750	         2.086	
155	 940	A	 16	X	 1	  77.1	     133.771	         2.048	
155	 940	A	 16	X	 1	  79.0	     133.790	         2.062	
155	 940	A	 16	X	 1	  81.3	     133.813	         2.118	
155	 940	A	 16	X	 1	  82.0	     133.820	         2.072	
155	 940	A	 16	X	 1	  83.2	     133.832	         2.107	
155	 940	A	 16	X	 1	  85.4	     133.854	         2.097	
155	 940	A	 16	X	 1	  87.0	     133.870	         2.056	
155	 940	A	 16	X	 1	  89.6	     133.896	         2.046	
155	 940	A	 16	X	 1	  92.0	     133.920	         2.038	
155	 940	A	 16	X	 1	  93.4	     133.934	         2.135	
155	 940	A	 16	X	 1	  96.0	     133.960	         2.130	
155	 940	A	 16	X	 1	  97.0	     133.970	         2.062	
155	 940	A	 16	X	 1	  97.6	     133.976	         1.816	
155	 940	A	 16	X	 1	  99.9	     133.999	         1.779	
155	 940	A	 16	X	 1	 102.0	     134.020	         1.868	
155	 940	A	 16	X	 1	 103.9	     134.039	         1.991	
155	 940	A	 16	X	 1	 106.3	     134.063	         1.988	
155	 940	A	 16	X	 1	 109.1	     134.091	         1.991	
155	 940	A	 16	X	 1	 110.8	     134.108	         1.968	
155	 940	A	 16	X	 1	 113.0	     134.130	         1.979	
155	 940	A	 16	X	 1	 115.3	     134.153	         1.952	
155	 940	A	 16	X	 1	 117.8	     134.178	         1.969	
155	 940	A	 16	X	 1	 120.1	     134.201	         1.875	
155	 940	A	 16	X	 1	 122.5	     134.225	         1.943	
155	 940	A	 16	X	 1	 124.7	     134.247	         1.925	
155	 940	A	 16	X	 1	 127.0	     134.270	         1.983	
155	 940	A	 16	X	 1	 129.6	     134.296	         1.795	
155	 940	A	 16	X	 1	 134.0	     134.340	         1.918	
155	 940	A	 16	X	 1	 136.4	     134.364	         1.820	
155	 940	A	 16	X	 1	 139.1	     134.391	         1.842	
155	 940	A	 16	X	 1	 140.7	     134.407	         0.672	
155	 940	A	 16	X	 1	 143.1	     134.431	         0.668	
155	 940	A	 16	X	 1	 145.4	     134.454	         0.628	
155	 940	A	 16	X	 2	   3.9	     134.539	         1.726	
155	 940	A	 16	X	 2	   7.0	     134.570	         1.954	
155	 940	A	 16	X	 2	   8.7	     134.587	         1.991	
155	 940	A	 16	X	 2	  11.0	     134.610	         1.902	
155	 940	A	 16	X	 2	  12.0	     134.620	         1.919	
155	 940	A	 16	X	 2	  13.0	     134.630	         1.809	
155	 940	A	 16	X	 2	  15.1	     134.651	         1.940	
155	 940	A	 16	X	 2	  17.0	     134.670	         1.917	
155	 940	A	 16	X	 2	  19.3	     134.693	         1.979	
155	 940	A	 16	X	 2	  22.0	     134.720	         1.985	
155	 940	A	 16	X	 2	  23.2	     134.732	         1.819	
155	 940	A	 16	X	 2	  25.7	     134.757	         1.772	
155	 940	A	 16	X	 2	  27.4	     134.774	         1.599	
155	 940	A	 16	X	 2	  29.7	     134.797	         1.736	
155	 940	A	 16	X	 2	  32.0	     134.820	         1.905	
155	 940	A	 16	X	 2	  33.8	     134.838	         1.908	
155	 940	A	 16	X	 2	  36.3	     134.863	         1.873	
155	 940	A	 16	X	 2	  37.0	     134.870	         1.860	
155	 940	A	 16	X	 2	  38.0	     134.880	         1.957	
155	 940	A	 16	X	 2	  40.4	     134.904	         1.883	
155	 940	A	 16	X	 2	  42.1	     134.921	         1.663	
155	 940	A	 16	X	 2	  44.4	     134.944	         1.725	
155	 940	A	 16	X	 2	  47.0	     134.970	         1.932	
155	 940	A	 16	X	 2	  48.5	     134.985	         1.962	
155	 940	A	 16	X	 2	  50.7	     135.007	         1.978	
155	 940	A	 16	X	 2	  52.0	     135.020	         1.920	
155	 940	A	 16	X	 2	  52.7	     135.027	         1.939	
155	 940	A	 16	X	 2	  55.0	     135.050	         1.916	
155	 940	A	 16	X	 2	  57.0	     135.070	         1.997	
155	 940	A	 16	X	 2	  59.4	     135.094	         2.051	
155	 940	A	 16	X	 2	  62.0	     135.120	         2.013	
155	 940	A	 16	X	 2	  63.0	     135.130	         2.071	
155	 940	A	 16	X	 2	  65.5	     135.155	         2.117	
155	 940	A	 16	X	 2	  67.0	     135.170	         2.066	
155	 940	A	 16	X	 2	  69.4	     135.194	         2.013	
155	 940	A	 16	X	 2	  72.1	     135.221	         2.000	
155	 940	A	 16	X	 2	  73.1	     135.231	         1.929	
155	 940	A	 16	X	 2	  75.7	     135.257	         1.789	
155	 940	A	 16	X	 2	  77.3	     135.273	         1.930	
155	 940	A	 16	X	 2	  79.0	     135.290	         1.951	
155	 940	A	 16	X	 2	  82.0	     135.320	         1.938	
155	 940	A	 16	X	 2	  83.6	     135.336	         1.979	
155	 940	A	 16	X	 2	  85.8	     135.358	         2.021	
155	 940	A	 16	X	 2	  87.0	     135.370	         1.989	
155	 940	A	 16	X	 2	  87.6	     135.376	         1.989	
155	 940	A	 16	X	 2	  90.0	     135.400	         2.004	
155	 940	A	 16	X	 2	  92.0	     135.420	         1.982	
155	 940	A	 16	X	 2	  93.8	     135.438	         1.932	
155	 940	A	 16	X	 2	  96.3	     135.463	         1.947	
155	 940	A	 16	X	 2	  97.0	     135.470	         1.948	
155	 940	A	 16	X	 2	  98.0	     135.480	         1.831	
155	 940	A	 16	X	 2	 100.4	     135.504	         2.010	
155	 940	A	 16	X	 2	 102.0	     135.520	         1.957	
155	 940	A	 16	X	 2	 104.3	     135.543	         1.984	
155	 940	A	 16	X	 2	 106.9	     135.569	         2.005	
155	 940	A	 16	X	 2	 109.1	     135.591	         2.010	
155	 940	A	 16	X	 2	 111.5	     135.615	         2.042	
155	 940	A	 16	X	 2	 113.6	     135.636	         2.051	
155	 940	A	 16	X	 2	 115.8	     135.658	         2.074	
155	 940	A	 16	X	 2	 118.2	     135.682	         2.067	
155	 940	A	 16	X	 2	 120.7	     135.707	         2.007	
155	 940	A	 16	X	 2	 123.0	     135.730	         2.071	
155	 940	A	 16	X	 2	 125.2	     135.752	         1.981	
155	 940	A	 16	X	 2	 127.7	     135.777	         2.059	
155	 940	A	 16	X	 2	 130.0	     135.800	         2.018	
155	 940	A	 16	X	 2	 132.3	     135.823	         2.056	
155	 940	A	 16	X	 2	 134.6	     135.846	         2.030	
155	 940	A	 16	X	 2	 137.3	     135.873	         2.021	
155	 940	A	 16	X	 2	 139.1	     135.891	         1.998	
155	 940	A	 16	X	 2	 141.6	     135.916	         1.912	
155	 940	A	 16	X	 2	 144.0	     135.940	         1.969	
155	 940	A	 16	X	 2	 146.0	     135.960	         1.756	
155	 940	A	 16	X	 3	   3.8	     136.038	         2.081	
155	 940	A	 16	X	 3	   7.0	     136.070	         2.083	
155	 940	A	 16	X	 3	   8.6	     136.086	         2.059	
155	 940	A	 16	X	 3	  10.8	     136.108	         2.037	
155	 940	A	 16	X	 3	  12.1	     136.121	         1.356	
155	 940	A	 16	X	 3	  14.6	     136.146	         0.670	
155	 940	A	 16	X	 3	  17.0	     136.170	         0.656	
155	 940	A	 16	X	 3	  18.5	     136.185	         1.442	
155	 940	A	 16	X	 3	  21.0	     136.210	         1.769	
155	 940	A	 16	X	 3	  22.0	     136.220	         1.798	
155	 940	A	 16	X	 3	  22.7	     136.227	         1.807	
155	 940	A	 16	X	 3	  25.0	     136.250	         1.967	
155	 940	A	 16	X	 3	  27.1	     136.271	         2.016	
155	 940	A	 16	X	 3	  29.1	     136.291	         2.026	
155	 940	A	 16	X	 3	  32.0	     136.320	         2.033	
155	 940	A	 16	X	 3	  33.3	     136.333	         1.869	
155	 940	A	 16	X	 3	  35.6	     136.356	         1.632	
155	 940	A	 16	X	 3	  37.0	     136.370	         1.521	
155	 940	A	 16	X	 3	  37.7	     136.377	         1.858	
155	 940	A	 16	X	 3	  40.0	     136.400	         2.017	
155	 940	A	 16	X	 3	  42.1	     136.421	         1.912	
155	 940	A	 16	X	 3	  43.9	     136.439	         2.028	
155	 940	A	 16	X	 3	  46.3	     136.463	         1.928	
155	 940	A	 16	X	 3	  47.0	     136.470	         1.947	
155	 940	A	 16	X	 3	  47.9	     136.479	         1.937	
155	 940	A	 16	X	 3	  50.4	     136.504	         1.614	
155	 940	A	 16	X	 3	  52.0	     136.520	         1.804	
155	 940	A	 16	X	 3	  54.5	     136.545	         1.958	
155	 940	A	 16	X	 3	  57.0	     136.570	         2.048	
155	 940	A	 16	X	 3	  58.2	     136.582	         2.058	
155	 940	A	 16	X	 3	  60.9	     136.609	         2.058	
155	 940	A	 16	X	 3	  62.0	     136.620	         2.026	
155	 940	A	 16	X	 3	  62.5	     136.625	         2.032	
155	 940	A	 16	X	 3	  64.8	     136.648	         2.060	
155	 940	A	 16	X	 3	  67.0	     136.670	         1.949	
155	 940	A	 16	X	 3	  69.0	     136.690	         2.044	
155	 940	A	 16	X	 3	  71.3	     136.713	         2.083	
155	 940	A	 16	X	 3	  72.0	     136.720	         2.102	
155	 940	A	 16	X	 3	  72.9	     136.729	         2.052	
155	 940	A	 16	X	 3	  75.3	     136.753	         2.092	
155	 940	A	 16	X	 3	  77.0	     136.770	         2.048	
155	 940	A	 16	X	 3	  79.0	     136.790	         2.055	
155	 940	A	 16	X	 3	  82.0	     136.820	         2.133	
155	 940	A	 16	X	 3	  83.1	     136.831	         2.057	
155	 940	A	 16	X	 3	  85.4	     136.854	         2.016	
155	 940	A	 16	X	 3	  87.3	     136.873	         2.026	
155	 940	A	 16	X	 3	  89.6	     136.896	         2.025	
155	 940	A	 16	X	 3	  92.0	     136.920	         2.006	
155	 940	A	 16	X	 3	  93.6	     136.936	         2.047	
155	 940	A	 16	X	 3	  96.0	     136.960	         2.024	
155	 940	A	 16	X	 3	  97.0	     136.970	         1.980	
155	 940	A	 16	X	 3	  97.5	     136.975	         2.024	
155	 940	A	 16	X	 3	  99.7	     136.997	         2.039	
155	 940	A	 16	X	 3	 102.0	     137.020	         2.062	
155	 940	A	 16	X	 3	 103.8	     137.038	         1.878	
155	 940	A	 16	X	 3	 106.3	     137.063	         2.002	
155	 940	A	 16	X	 3	 109.0	     137.090	         2.055	
155	 940	A	 16	X	 3	 110.7	     137.107	         1.777	
155	 940	A	 16	X	 3	 113.2	     137.132	         1.990	
155	 940	A	 16	X	 3	 115.4	     137.154	         2.098	
155	 940	A	 16	X	 3	 117.7	     137.177	         2.058	
155	 940	A	 16	X	 3	 120.1	     137.201	         1.968	
155	 940	A	 16	X	 3	 122.6	     137.226	         1.791	
155	 940	A	 16	X	 3	 124.9	     137.249	         2.088	
155	 940	A	 16	X	 3	 127.3	     137.273	         1.901	
155	 940	A	 16	X	 3	 129.5	     137.295	         1.763	
155	 940	A	 16	X	 3	 131.8	     137.318	         1.695	
155	 940	A	 16	X	 3	 134.1	     137.341	         1.983	
155	 940	A	 16	X	 3	 136.5	     137.365	         1.965	
155	 940	A	 16	X	 3	 139.1	     137.391	         1.967	
155	 940	A	 16	X	 3	 141.0	     137.410	         2.028	
155	 940	A	 16	X	 3	 143.2	     137.432	         1.804	
155	 940	A	 16	X	 3	 145.6	     137.456	         0.596	
155	 940	A	 16	X	 4	   4.0	     137.540	         1.927	
155	 940	A	 16	X	 4	   7.0	     137.570	         1.897	
155	 940	A	 16	X	 4	   8.9	     137.589	         1.908	
155	 940	A	 16	X	 4	  11.1	     137.611	         1.611	
155	 940	A	 16	X	 4	  12.0	     137.620	         1.571	
155	 940	A	 16	X	 4	  12.8	     137.628	         2.031	
155	 940	A	 16	X	 4	  15.1	     137.651	         1.594	
155	 940	A	 16	X	 4	  17.0	     137.670	         0.674	
155	 940	A	 16	X	 4	  19.1	     137.691	         0.640	
155	 940	A	 16	X	 4	  21.4	     137.714	         0.634	
155	 940	A	 16	X	 4	  22.0	     137.720	         0.644	
155	 940	A	 16	X	 4	  23.3	     137.733	         0.649	
155	 940	A	 16	X	 4	  25.7	     137.757	         0.727	
155	 940	A	 16	X	 4	  27.4	     137.774	         1.457	
155	 940	A	 16	X	 4	  29.9	     137.799	         1.523	
155	 940	A	 16	X	 4	  32.0	     137.820	         1.073	
155	 940	A	 16	X	 4	  34.0	     137.840	         1.959	
155	 940	A	 16	X	 4	  36.1	     137.861	         2.002	
155	 940	A	 16	X	 4	  37.0	     137.870	         1.990	
155	 940	A	 16	X	 4	  38.0	     137.880	         2.015	
155	 940	A	 16	X	 4	  40.3	     137.903	         1.971	
155	 940	A	 16	X	 4	  42.1	     137.921	         1.990	
155	 940	A	 16	X	 4	  44.6	     137.946	         1.970	
155	 940	A	 16	X	 4	  47.0	     137.970	         2.010	
155	 940	A	 16	X	 4	  48.7	     137.987	         1.971	
155	 940	A	 16	X	 4	  50.9	     138.009	         1.288	
155	 940	A	 16	X	 4	  52.0	     138.020	         0.862	
155	 940	A	 16	X	 4	  52.6	     138.026	         1.719	
155	 940	A	 16	X	 4	  55.0	     138.050	         2.022	
155	 940	A	 16	X	 4	  57.0	     138.070	         2.070	
155	 940	A	 16	X	 4	  59.2	     138.092	         1.977	
155	 940	A	 16	X	 4	  62.0	     138.120	         1.997	
155	 940	A	 16	X	 4	  63.1	     138.131	         1.980	
155	 940	A	 16	X	 4	  65.6	     138.156	         2.028	
155	 940	A	 16	X	 4	  67.0	     138.170	         1.998	
155	 940	A	 16	X	 4	  69.4	     138.194	         2.055	
155	 940	A	 16	X	 4	  72.0	     138.220	         2.018	
155	 940	A	 16	X	 4	  73.5	     138.235	         2.053	
155	 940	A	 16	X	 4	  75.8	     138.258	         1.943	
155	 940	A	 16	X	 4	  77.0	     138.270	         1.964	
155	 940	A	 16	X	 4	  77.8	     138.278	         2.031	
155	 940	A	 16	X	 4	  79.0	     138.290	         2.047	
155	 940	A	 16	X	 4	  79.7	     138.297	         2.027	
155	 940	A	 16	X	 4	  82.0	     138.320	         1.753	
155	 940	A	 16	X	 4	  83.8	     138.338	         1.998	
155	 940	A	 16	X	 4	  86.1	     138.361	         2.061	
155	 940	A	 16	X	 4	  87.0	     138.370	         2.056	
155	 940	A	 16	X	 4	  87.5	     138.375	         2.076	
155	 940	A	 16	X	 4	  90.1	     138.401	         2.091	
155	 940	A	 16	X	 4	  92.0	     138.420	         2.037	
155	 940	A	 16	X	 4	  93.9	     138.439	         1.929	
155	 940	A	 16	X	 4	  97.0	     138.470	         1.929	
155	 940	A	 16	X	 4	  98.1	     138.481	         1.828	
155	 940	A	 16	X	 4	 100.7	     138.507	         1.777	
155	 940	A	 16	X	 4	 102.3	     138.523	         1.548	
155	 940	A	 16	X	 4	 104.7	     138.547	         1.489	
155	 940	A	 16	X	 4	 107.2	     138.572	         1.825	
155	 940	A	 16	X	 4	 109.0	     138.590	         1.883	
155	 940	A	 16	X	 4	 111.5	     138.615	         1.896	
155	 940	A	 16	X	 4	 113.8	     138.638	         1.926	
155	 940	A	 16	X	 4	 116.0	     138.660	         1.886	
155	 940	A	 16	X	 4	 118.5	     138.685	         1.690	
155	 940	A	 16	X	 4	 120.9	     138.709	         1.832	
155	 940	A	 16	X	 4	 123.3	     138.733	         1.700	
155	 940	A	 16	X	 4	 125.4	     138.754	         1.711	
155	 940	A	 16	X	 4	 127.8	     138.778	         1.823	
155	 940	A	 16	X	 4	 130.3	     138.803	         1.761	
155	 940	A	 16	X	 4	 132.6	     138.826	         1.794	
155	 940	A	 16	X	 4	 134.8	     138.848	         1.887	
155	 940	A	 16	X	 4	 137.5	     138.875	         1.696	
155	 940	A	 16	X	 4	 139.1	     138.891	         1.528	
155	 940	A	 16	X	 4	 141.6	     138.916	         1.565	
155	 940	A	 16	X	 4	 143.8	     138.938	         2.068	
155	 940	A	 16	X	 4	 146.3	     138.963	         1.546	
155	 940	A	 16	X	 5	   4.2	     139.042	         2.068	
155	 940	A	 16	X	 5	   7.0	     139.070	         2.078	
155	 940	A	 16	X	 5	   8.7	     139.087	         2.003	
155	 940	A	 16	X	 5	  12.0	     139.120	         2.005	
155	 940	A	 16	X	 5	  12.9	     139.129	         2.038	
155	 940	A	 16	X	 5	  15.5	     139.155	         2.043	
155	 940	A	 16	X	 5	  17.0	     139.170	         1.996	
155	 940	A	 16	X	 5	  19.3	     139.193	         2.078	
155	 940	A	 16	X	 5	  22.0	     139.220	         2.008	
155	 940	A	 16	X	 5	  23.5	     139.235	         2.038	
155	 940	A	 16	X	 5	  25.8	     139.258	         2.015	
155	 940	A	 16	X	 5	  27.0	     139.270	         1.985	
155	 940	A	 16	X	 5	  27.8	     139.278	         2.040	
155	 940	A	 16	X	 5	  30.0	     139.300	         2.014	
155	 940	A	 16	X	 5	  32.0	     139.320	         1.930	
155	 940	A	 16	X	 5	  34.4	     139.344	         1.972	
155	 940	A	 16	X	 5	  37.0	     139.370	         1.958	
155	 940	A	 16	X	 5	  38.5	     139.385	         2.055	
155	 940	A	 16	X	 5	  40.8	     139.408	         1.931	
155	 940	A	 16	X	 5	  42.1	     139.421	         1.950	
155	 940	A	 16	X	 5	  44.9	     139.449	         1.992	
155	 940	A	 16	X	 5	  47.0	     139.470	         2.028	
155	 940	A	 16	X	 5	  48.9	     139.489	         1.611	
155	 940	A	 16	X	 5	  52.0	     139.520	         1.596	
155	 940	A	 16	X	 5	  53.0	     139.530	         1.867	
155	 940	A	 16	X	 5	  55.5	     139.555	         1.254	
155	 940	A	 16	X	 5	  57.0	     139.570	         0.742	
155	 940	A	 16	X	 5	  59.6	     139.596	         0.672	
155	 940	A	 16	X	 5	  62.0	     139.620	         0.697	
155	 940	A	 16	X	 5	  63.8	     139.638	         0.708	
155	 940	A	 16	X	 5	  66.2	     139.662	         0.688	
155	 940	A	 16	X	 5	  67.0	     139.670	         0.757	
155	 940	A	 16	X	 5	  67.8	     139.678	         0.873	
155	 940	A	 16	X	 5	  70.2	     139.702	         0.889	
155	 940	A	 16	X	 5	  72.0	     139.720	         0.877	
155	 940	A	 16	X	 5	  74.1	     139.741	         0.797	
155	 940	A	 16	X	 5	  77.1	     139.771	         0.688	
155	 940	A	 16	X	 5	  78.2	     139.782	         0.693	
155	 940	A	 16	X	 5	  79.0	     139.790	         0.680	
155	 940	A	 16	X	 5	  80.1	     139.801	         0.700	
155	 940	A	 16	X	 5	  82.0	     139.820	         0.745	
155	 940	A	 16	X	 5	  84.3	     139.843	         0.703	
155	 940	A	 16	X	 5	  87.0	     139.870	         0.676	
155	 940	A	 16	X	 5	  88.5	     139.885	         0.696	
155	 940	A	 16	X	 5	  90.8	     139.908	         0.723	
155	 940	A	 16	X	 5	  92.0	     139.920	         1.292	
155	 940	A	 16	X	 5	  92.6	     139.926	         1.615	
155	 940	A	 16	X	 5	  94.9	     139.949	         1.511	
155	 940	A	 16	X	 5	  97.0	     139.970	         1.879	
155	 940	A	 16	X	 5	  99.0	     139.990	         1.531	
155	 940	A	 16	X	 5	 101.2	     140.012	         1.543	
155	 940	A	 16	X	 5	 102.0	     140.020	         1.824	
155	 940	A	 16	X	 5	 103.1	     140.031	         1.873	
155	 940	A	 16	X	 5	 105.3	     140.053	         2.075	
155	 940	A	 16	X	 5	 107.6	     140.076	         2.052	
155	 940	A	 16	X	 5	 109.0	     140.090	         2.038	
155	 940	A	 16	X	 5	 109.8	     140.098	         1.727	
155	 940	A	 16	X	 5	 112.1	     140.121	         1.951	
155	 940	A	 16	X	 5	 114.5	     140.145	         2.019	
155	 940	A	 16	X	 5	 116.9	     140.169	         2.003	
155	 940	A	 16	X	 5	 119.3	     140.193	         1.983	
155	 940	A	 16	X	 5	 121.5	     140.215	         1.989	
155	 940	A	 16	X	 5	 123.9	     140.239	         2.000	
155	 940	A	 16	X	 5	 126.2	     140.262	         1.898	
155	 940	A	 16	X	 5	 128.6	     140.286	         1.930	
155	 940	A	 16	X	 5	 130.9	     140.309	         1.916	
155	 940	A	 16	X	 5	 133.2	     140.332	         2.018	
155	 940	A	 16	X	 5	 135.6	     140.356	         2.004	
155	 940	A	 16	X	 5	 138.1	     140.381	         2.032	
155	 940	A	 16	X	 5	 139.1	     140.391	         1.987	
155	 940	A	 16	X	 5	 140.1	     140.401	         2.053	
155	 940	A	 16	X	 5	 142.5	     140.425	         2.025	
155	 940	A	 16	X	 5	 144.8	     140.448	         0.838	
155	 940	A	 16	X	 6	   4.2	     140.542	         2.098	
155	 940	A	 16	X	 6	   7.0	     140.570	         2.086	
155	 940	A	 16	X	 6	   8.9	     140.589	         1.908	
155	 940	A	 16	X	 6	  11.3	     140.613	         1.820	
155	 940	A	 16	X	 6	  12.0	     140.620	         1.816	
155	 940	A	 16	X	 6	  12.8	     140.628	         2.034	
155	 940	A	 16	X	 6	  15.1	     140.651	         2.062	
155	 940	A	 16	X	 6	  17.0	     140.670	         2.014	
155	 940	A	 16	X	 6	  19.3	     140.693	         2.058	
155	 940	A	 16	X	 6	  22.0	     140.720	         1.905	
155	 940	A	 16	X	 6	  23.5	     140.735	         2.010	
155	 940	A	 16	X	 6	  25.7	     140.757	         2.092	
155	 940	A	 16	X	 6	  27.1	     140.771	         2.090	
155	 940	A	 16	X	 6	  27.7	     140.777	         2.129	
155	 940	A	 16	X	 6	  29.9	     140.799	         2.162	
155	 940	A	 16	X	 6	  32.0	     140.820	         2.144	
155	 940	A	 16	X	 6	  34.2	     140.842	         2.086	
155	 940	A	 16	X	 6	  36.4	     140.864	         2.047	
155	 940	A	 16	X	 6	  37.0	     140.870	         1.999	
155	 940	A	 16	X	 6	  38.4	     140.884	         2.011	
155	 940	A	 16	X	 6	  40.7	     140.907	         1.974	
155	 940	A	 16	X	 6	  42.1	     140.921	         1.962	
155	 940	A	 16	X	 6	  44.9	     140.949	         1.824	
155	 940	A	 16	X	 6	  47.0	     140.970	         2.023	
155	 940	A	 16	X	 6	  48.9	     140.989	         2.021	
155	 940	A	 16	X	 6	  51.2	     141.012	         2.062	
155	 940	A	 16	X	 6	  52.0	     141.020	         2.035	
155	 940	A	 16	X	 6	  52.9	     141.029	         2.070	
155	 940	A	 16	X	 6	  55.2	     141.052	         2.103	
155	 940	A	 16	X	 6	  57.1	     141.071	         2.111	
155	 940	A	 16	X	 6	  59.3	     141.093	         2.209	
155	 940	A	 16	X	 6	  62.0	     141.120	         1.221	
155	 940	A	 16	X	 6	  63.4	     141.134	         0.674	
155	 940	A	 16	X	 6	  65.8	     141.158	         1.677	
155	 940	A	 16	X	 6	  67.0	     141.170	         1.993	
155	 940	A	 16	X	 6	  67.5	     141.175	         1.956	
155	 940	A	 16	X	 6	  69.7	     141.197	         1.991	
155	 940	A	 16	X	 6	  72.0	     141.220	         1.911	
155	 940	A	 16	X	 6	  73.7	     141.237	         1.881	
155	 940	A	 16	X	 6	  76.1	     141.261	         1.761	
155	 940	A	 16	X	 6	  77.1	     141.271	         1.761	
155	 940	A	 16	X	 6	  78.1	     141.281	         1.755	
155	 940	A	 16	X	 6	  79.0	     141.290	         1.717	
155	 940	A	 16	X	 6	  79.8	     141.298	         1.330	
155	 940	A	 16	X	 6	  82.0	     141.320	         0.962	
155	 940	A	 16	X	 6	  84.0	     141.340	         0.660	
155	 940	A	 16	X	 6	  87.0	     141.370	         0.644	
155	 940	A	 16	X	 6	  88.1	     141.381	         1.190	
155	 940	A	 16	X	 6	  90.4	     141.404	         1.921	
155	 940	A	 16	X	 6	  92.1	     141.421	         1.900	
155	 940	A	 16	X	 6	  94.4	     141.444	         1.476	
155	 940	A	 16	X	 6	  97.0	     141.470	         0.919	
155	 940	A	 16	X	 6	  98.6	     141.486	         1.769	
155	 940	A	 16	X	 6	 100.8	     141.508	         2.017	
155	 940	A	 16	X	 6	 102.0	     141.520	         2.060	
155	 940	A	 16	X	 6	 102.7	     141.527	         2.066	
155	 940	A	 16	X	 6	 104.9	     141.549	         2.122	
155	 940	A	 16	X	 6	 107.2	     141.572	         2.122	
155	 940	A	 16	X	 6	 109.1	     141.591	         1.991	
155	 940	A	 16	X	 6	 111.6	     141.616	         1.994	
155	 940	A	 16	X	 6	 114.3	     141.643	         2.025	
155	 940	A	 16	X	 6	 116.4	     141.664	         1.989	
155	 940	A	 16	X	 6	 118.7	     141.687	         1.982	
155	 940	A	 16	X	 6	 121.0	     141.710	         2.074	
155	 940	A	 16	X	 6	 123.6	     141.736	         2.112	
155	 940	A	 16	X	 6	 125.8	     141.758	         2.029	
155	 940	A	 16	X	 6	 128.1	     141.781	         2.041	
155	 940	A	 16	X	 6	 130.4	     141.804	         1.632	
155	 940	A	 16	X	 6	 132.9	     141.829	         1.666	
155	 940	A	 16	X	 6	 135.2	     141.852	         1.896	
155	 940	A	 16	X	 6	 137.6	     141.876	         1.913	
155	 940	A	 16	X	 6	 139.1	     141.891	         1.917	
155	 940	A	 16	X	 6	 139.7	     141.897	         1.948	
155	 940	A	 16	X	 6	 142.1	     141.921	         1.950	
155	 940	A	 16	X	 6	 144.5	     141.945	         1.996	
155	 940	A	 16	X	 6	 146.7	     141.967	         0.822	
155	 940	A	 16	X	 7	   4.0	     142.040	         2.087	
155	 940	A	 16	X	 7	   7.0	     142.070	         2.156	
155	 940	A	 16	X	 7	   9.0	     142.090	         2.104	
155	 940	A	 16	X	 7	  11.1	     142.111	         2.083	
155	 940	A	 16	X	 7	  12.0	     142.120	         2.054	
155	 940	A	 16	X	 7	  13.0	     142.130	         2.058	
155	 940	A	 16	X	 7	  15.4	     142.154	         2.049	
155	 940	A	 16	X	 7	  17.7	     142.177	         2.044	
155	 940	A	 16	X	 7	  19.8	     142.198	         1.880	
155	 940	A	 16	X	 7	  22.2	     142.222	         2.017	
155	 940	A	 16	X	 7	  24.7	     142.247	         1.971	
155	 940	A	 16	X	 7	  27.0	     142.270	         1.987	
155	 940	A	 16	X	 7	  29.3	     142.293	         1.927	
155	 940	A	 16	X	 7	  31.7	     142.317	         1.972	
155	 940	A	 16	X	 7	  34.1	     142.341	         2.034	
155	 940	A	 16	X	 7	  36.5	     142.365	         2.034	
155	 940	A	 16	X	 7	  38.6	     142.386	         2.055	
155	 940	A	 16	X	 7	  40.9	     142.409	         2.045	
155	 940	A	 16	X	 7	  43.6	     142.436	         2.120	
155	 940	A	 16	X	 7	  45.7	     142.457	         2.135	
155	 940	A	 16	X	 7	  48.0	     142.480	         2.077	
155	 940	A	 16	X	 7	  50.5	     142.505	         2.069	
155	 940	A	 16	X	 7	  52.7	     142.527	         2.159	
155	 940	A	 16	X	 7	  55.1	     142.551	         2.147	
155	 940	A	 17	X	 1	   3.8	     142.638	         1.671	
155	 940	A	 17	X	 1	   7.0	     142.670	         1.661	
155	 940	A	 17	X	 1	   8.2	     142.682	         1.817	
155	 940	A	 17	X	 1	  10.3	     142.703	         1.875	
155	 940	A	 17	X	 1	  12.0	     142.720	         1.843	
155	 940	A	 17	X	 1	  13.2	     142.732	         1.833	
155	 940	A	 17	X	 1	  15.4	     142.754	         1.941	
155	 940	A	 17	X	 1	  16.9	     142.769	         1.979	
155	 940	A	 17	X	 1	  19.0	     142.790	         2.000	
155	 940	A	 17	X	 1	  21.9	     142.819	         2.012	
155	 940	A	 17	X	 1	  23.3	     142.833	         2.073	
155	 940	A	 17	X	 1	  25.6	     142.856	         1.994	
155	 940	A	 17	X	 1	  27.1	     142.871	         1.982	
155	 940	A	 17	X	 1	  28.6	     142.886	         1.987	
155	 940	A	 17	X	 1	  30.9	     142.909	         2.015	
155	 940	A	 17	X	 1	  32.1	     142.921	         1.964	
155	 940	A	 17	X	 1	  34.1	     142.941	         1.975	
