Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Treatment	Level 	Demag Type	Level	 Decl.	 Incl.	Intensity	Hole Incl.	Intensity X	Intensity Y	Intensity Z	Run   	Comment
155	 940	A	  2	H	 2	   5.00	       4.350	NRM      	      	AFD       	   20	 80.30	 26.10	9.222E+00	          	           	           	           	  1842	
155	 940	A	  2	H	 2	  10.00	       4.400	NRM      	      	AFD       	   20	 84.40	 27.50	1.186E+01	          	           	           	           	  1842	
155	 940	A	  2	H	 2	  15.00	       4.450	NRM      	      	AFD       	   20	 89.50	 33.30	1.117E+01	          	           	           	           	  1842	
155	 940	A	  2	H	 2	  20.00	       4.500	NRM      	      	AFD       	   20	 95.10	 39.20	1.045E+01	          	           	           	           	  1842	
155	 940	A	  2	H	 2	  25.00	       4.550	NRM      	      	AFD       	   20	102.50	 39.90	1.036E+01	          	           	           	           	  1842	
155	 940	A	  2	H	 2	  30.00	       4.600	NRM      	      	AFD       	   20	107.30	 36.90	1.037E+01	          	           	           	           	  1842	
155	 940	A	  2	H	 2	  35.00	       4.650	NRM      	      	AFD       	   20	109.00	 31.80	1.063E+01	          	           	           	           	  1842	
155	 940	A	  2	H	 2	  40.00	       4.700	NRM      	      	AFD       	   20	107.50	 28.90	1.036E+01	          	           	           	           	  1842	
155	 940	A	  2	H	 2	  45.00	       4.750	NRM      	      	AFD       	   20	105.50	 28.60	9.475E+00	          	           	           	           	  1842	
155	 940	A	  2	H	 2	  50.00	       4.800	NRM      	      	AFD       	   20	103.30	 27.90	9.176E+00	          	           	           	           	  1842	
155	 940	A	  2	H	 2	  55.00	       4.850	NRM      	      	AFD       	   20	102.70	 25.30	9.658E+00	          	           	           	           	  1842	
155	 940	A	  2	H	 2	  60.00	       4.900	NRM      	      	AFD       	   20	103.90	 23.80	9.709E+00	          	           	           	           	  1842	
155	 940	A	  2	H	 2	  65.00	       4.950	NRM      	      	AFD       	   20	 98.90	 23.40	9.356E+00	          	           	           	           	  1842	
155	 940	A	  2	H	 2	  70.00	       5.000	NRM      	      	AFD       	   20	100.70	 22.80	1.014E+01	          	           	           	           	  1842	
155	 940	A	  2	H	 2	  75.00	       5.050	NRM      	      	AFD       	   20	100.90	 21.00	1.066E+01	          	           	           	           	  1842	
155	 940	A	  2	H	 2	  80.00	       5.100	NRM      	      	AFD       	   20	106.10	 16.00	1.111E+01	          	           	           	           	  1842	
155	 940	A	  2	H	 2	  85.00	       5.150	NRM      	      	AFD       	   20	103.50	 13.30	1.078E+01	          	           	           	           	  1842	
155	 940	A	  2	H	 2	  90.00	       5.200	NRM      	      	AFD       	   20	100.00	 11.70	1.016E+01	          	           	           	           	  1842	
155	 940	A	  2	H	 2	  95.00	       5.250	NRM      	      	AFD       	   20	 95.60	 10.90	9.339E+00	          	           	           	           	  1842	
155	 940	A	  2	H	 2	 100.00	       5.300	NRM      	      	AFD       	   20	 95.40	  8.50	9.378E+00	          	           	           	           	  1842	
155	 940	A	  2	H	 2	 105.00	       5.350	NRM      	      	AFD       	   20	 96.70	  4.40	8.470E+00	          	           	           	           	  1842	
155	 940	A	  2	H	 2	 110.00	       5.400	NRM      	      	AFD       	   20	 92.40	  0.40	7.681E+00	          	           	           	           	  1842	
155	 940	A	  2	H	 2	 115.00	       5.450	NRM      	      	AFD       	   20	 84.10	 -2.40	8.904E+00	          	           	           	           	  1842	
155	 940	A	  2	H	 2	 120.00	       5.500	NRM      	      	AFD       	   20	 80.50	 -2.90	1.088E+01	          	           	           	           	  1842	
155	 940	A	  2	H	 2	 125.00	       5.550	NRM      	      	AFD       	   20	 79.70	 -3.00	1.090E+01	          	           	           	           	  1842	
155	 940	A	  2	H	 2	 130.00	       5.600	NRM      	      	AFD       	   20	 77.10	 -2.90	1.022E+01	          	           	           	           	  1842	
155	 940	A	  2	H	 2	 135.00	       5.650	NRM      	      	AFD       	   20	 71.70	 -2.70	1.048E+01	          	           	           	           	  1842	
155	 940	A	  2	H	 2	 140.00	       5.700	NRM      	      	AFD       	   20	 69.40	 -2.30	1.167E+01	          	           	           	           	  1842	
155	 940	A	  2	H	 2	 145.00	       5.750	NRM      	      	AFD       	   20	 70.40	 -1.90	1.003E+01	          	           	           	           	  1842	
155	 940	A	  2	H	 2	 150.00	       5.800	NRM      	      	AFD       	   20	 71.00	 -1.40	4.587E+00	          	           	           	           	  1842	
155	 940	A	  2	H	 3	   0.00	       5.800	NRM      	      	AFD       	   20	 46.60	 -7.30	2.579E+00	          	           	           	           	  1843	
155	 940	A	  2	H	 3	   5.00	       5.850	NRM      	      	AFD       	   20	 59.70	 -3.30	8.144E+00	          	           	           	           	  1843	
155	 940	A	  2	H	 3	  10.00	       5.900	NRM      	      	AFD       	   20	 62.30	 -2.80	1.214E+01	          	           	           	           	  1843	
155	 940	A	  2	H	 3	  15.00	       5.950	NRM      	      	AFD       	   20	 62.90	 -3.30	1.176E+01	          	           	           	           	  1843	
155	 940	A	  2	H	 3	  20.00	       6.000	NRM      	      	AFD       	   20	 63.70	 -3.90	1.070E+01	          	           	           	           	  1843	
155	 940	A	  2	H	 3	  25.00	       6.050	NRM      	      	AFD       	   20	 64.50	 -3.10	9.934E+00	          	           	           	           	  1843	
155	 940	A	  2	H	 3	  30.00	       6.100	NRM      	      	AFD       	   20	 64.60	 -1.70	8.817E+00	          	           	           	           	  1843	
155	 940	A	  2	H	 3	  35.00	       6.150	NRM      	      	AFD       	   20	 68.00	 -0.60	7.839E+00	          	           	           	           	  1843	
155	 940	A	  2	H	 3	  40.00	       6.200	NRM      	      	AFD       	   20	 71.80	 -1.60	7.561E+00	          	           	           	           	  1843	
155	 940	A	  2	H	 3	  45.00	       6.250	NRM      	      	AFD       	   20	 70.70	 -1.20	9.382E+00	          	           	           	           	  1843	
155	 940	A	  2	H	 3	  50.00	       6.300	NRM      	      	AFD       	   20	 68.60	 -1.50	1.152E+01	          	           	           	           	  1843	
155	 940	A	  2	H	 3	  55.00	       6.350	NRM      	      	AFD       	   20	 64.90	 -1.30	1.172E+01	          	           	           	           	  1843	
155	 940	A	  2	H	 3	  60.00	       6.400	NRM      	      	AFD       	   20	 62.20	 -2.40	1.043E+01	          	           	           	           	  1843	
155	 940	A	  2	H	 3	  65.00	       6.450	NRM      	      	AFD       	   20	 61.40	 -2.80	1.014E+01	          	           	           	           	  1843	
155	 940	A	  2	H	 3	  70.00	       6.500	NRM      	      	AFD       	   20	 59.20	 -1.20	9.776E+00	          	           	           	           	  1843	
155	 940	A	  2	H	 3	  75.00	       6.550	NRM      	      	AFD       	   20	 62.60	  1.40	1.091E+01	          	           	           	           	  1843	
155	 940	A	  2	H	 3	  80.00	       6.600	NRM      	      	AFD       	   20	 66.00	  0.70	1.193E+01	          	           	           	           	  1843	
155	 940	A	  2	H	 3	  85.00	       6.650	NRM      	      	AFD       	   20	 66.50	 -3.40	1.132E+01	          	           	           	           	  1843	
155	 940	A	  2	H	 3	  90.00	       6.700	NRM      	      	AFD       	   20	 62.50	 -6.50	9.383E+00	          	           	           	           	  1843	
155	 940	A	  2	H	 3	  95.00	       6.750	NRM      	      	AFD       	   20	 59.80	 -7.40	8.721E+00	          	           	           	           	  1843	
155	 940	A	  2	H	 3	 100.00	       6.800	NRM      	      	AFD       	   20	 62.60	 -7.50	9.889E+00	          	           	           	           	  1843	
155	 940	A	  2	H	 3	 105.00	       6.850	NRM      	      	AFD       	   20	 70.80	 -9.10	1.020E+01	          	           	           	           	  1843	
155	 940	A	  2	H	 3	 110.00	       6.900	NRM      	      	AFD       	   20	 69.70	-10.00	9.917E+00	          	           	           	           	  1843	
155	 940	A	  2	H	 3	 115.00	       6.950	NRM      	      	AFD       	   20	 66.10	-10.30	9.750E+00	          	           	           	           	  1843	
155	 940	A	  2	H	 3	 120.00	       7.000	NRM      	      	AFD       	   20	 59.00	 -9.80	1.065E+01	          	           	           	           	  1843	
155	 940	A	  2	H	 3	 125.00	       7.050	NRM      	      	AFD       	   20	 58.90	 -9.00	1.088E+01	          	           	           	           	  1843	
155	 940	A	  2	H	 3	 130.00	       7.100	NRM      	      	AFD       	   20	 60.20	 -7.90	1.158E+01	          	           	           	           	  1843	
155	 940	A	  2	H	 3	 135.00	       7.150	NRM      	      	AFD       	   20	 62.00	 -6.70	1.253E+01	          	           	           	           	  1843	
155	 940	A	  2	H	 3	 140.00	       7.200	NRM      	      	AFD       	   20	 64.50	 -5.80	1.449E+01	          	           	           	           	  1843	
155	 940	A	  2	H	 3	 145.00	       7.250	NRM      	      	AFD       	   20	 66.90	 -5.40	1.296E+01	          	           	           	           	  1843	
155	 940	A	  2	H	 3	 150.00	       7.300	NRM      	      	AFD       	   20	 65.10	 -5.70	6.657E+00	          	           	           	           	  1843	
155	 940	A	  2	H	 4	   0.00	       7.300	NRM      	      	AFD       	   20	 68.00	 -0.60	8.605E+00	          	           	           	           	  1844	
