Leg	Site	H	Cor	T	Sc	Top(cm)	Bot(cm)	Depth (mbsf)	WW (%)	WD (%)	BD (g/cc)	DD (g/cc)	GD (g/cc)	PO (%)	VR    	Method	Comments
155	 940	A	 24	X	 1	  72.0	  74.0	     210.720	  27.9	  38.7	    1.914	    1.380	    2.882	  52.1	 1.089	     B	        
155	 940	A	 24	X	 2	  84.0	  86.0	     212.340	  26.5	  36.1	    1.971	    1.448	    2.959	  51.1	 1.043	     B	        
155	 940	A	 24	X	 3	  71.0	  73.0	     213.710	  25.7	  34.6	    1.955	    1.453	    2.851	  49.0	 0.962	     B	        
155	 940	A	 24	X	 4	  43.0	  45.0	     214.930	  24.6	  32.6	    1.991	    1.502	    2.877	  47.8	 0.915	     B	        
155	 940	A	 24	X	 5	  49.0	  51.0	     216.490	  26.6	  36.2	    1.953	    1.435	    2.908	  50.7	 1.027	     B	        
155	 940	A	 24	X	 5	  70.0	  72.0	     216.700	  21.9	  28.1	    2.064	    1.612	    2.889	  44.2	 0.792	     B	        
155	 940	A	 25	X	 1	  66.0	  68.0	     220.360	  26.7	  36.5	    1.948	    1.427	    2.903	  50.8	 1.034	     B	        
155	 940	A	 25	X	 2	   9.0	  11.0	     221.290	  25.9	  35.0	    1.977	    1.464	    2.933	  50.1	 1.003	     B	        
155	 940	A	 25	X	 3	 131.0	 133.0	     223.840	  23.0	  29.8	    2.048	    1.578	    2.919	  45.9	 0.850	     B	        
155	 940	A	 26	X	 2	  88.0	  90.0	     231.680	  27.2	  37.4	    1.930	    1.405	    2.884	  51.3	 1.053	     B	        
155	 940	A	 26	X	 3	  79.0	  81.0	     233.090	  24.8	  33.0	    1.995	    1.500	    2.902	  48.3	 0.935	     B	        
155	 940	A	 26	X	 4	  47.0	  49.0	     234.270	  27.7	  38.3	    1.948	    1.408	    2.976	  52.7	 1.114	     B	        
155	 940	A	 26	X	 5	  47.0	  49.0	     235.770	  22.4	  28.8	    2.039	    1.583	    2.855	  44.6	 0.804	     B	        
155	 940	A	 26	X	 5	  59.0	  61.0	     235.890	  25.6	  34.4	    1.970	    1.465	    2.889	  49.3	 0.972	     B	        
155	 940	A	 27	X	 1	  99.0	 101.0	     239.990	  23.6	  30.9	    2.014	    1.539	    2.873	  46.4	 0.867	     B	        
155	 940	A	 27	X	 2	  84.0	  86.0	     241.340	  23.8	  31.2	    2.014	    1.535	    2.883	  46.8	 0.878	     B	        
155	 940	A	 27	X	 3	  58.0	  60.0	     242.580	  23.3	  30.4	    2.012	    1.543	    2.849	  45.9	 0.847	    BC	As B.         
155	 940	A	 27	X	 3	  58.0	  60.0	     242.580	  23.3	  30.4	    1.960	    1.503	    2.716	  44.7	 0.808	    BC	As C.         
155	 940	A	 27	X	 4	  78.0	  80.0	     244.280	  24.2	  31.9	    1.992	    1.511	    2.852	  47.0	 0.888	     B	        
155	 940	A	 27	X	 5	  69.0	  71.0	     245.690	  24.3	  32.2	    1.990	    1.506	    2.859	  47.3	 0.899	     B	        
